time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,5.8072894872854154e-39,4.3975394906768786e-33,1.0,1.926033379176743e-32,2.067851458504325e-31,1.2281673929401003e-32,2.310320643925632e-31,2.8812033073912736e-32,8.990252764333493e-33,3.353832710752447e-33,3.082248357010874e-33,1.1272695003456912e-33,1.999498917002077e-32
0.5,6.531082106660034e-09,0.0013966145777977365,0.9985398915940418,6.301864276202354e-05,1.653524677837272e-08,3.6238933393178407e-08,1.6798954015822865e-07,1.8587920146276295e-09,1.2419737399756771e-08,1.0920087099316191e-09,1.698039432092556e-08,3.453612164150094e-08,1.810034874305018e-07
1.0,1.0258189005005097e-08,0.008605509990706346,0.991248130575272,0.00014470473966560242,9.734803213436961e-09,1.0452487386796691e-07,6.260848700308765e-07,7.037571238852651e-10,3.367188979799211e-08,3.6795670839526898e-09,8.295322298824862e-09,8.767372320196325e-08,7.700671471407124e-07
1.5,5.362841672846096e-09,0.02778406119526776,0.9721216802283481,9.075717521963986e-05,4.814195945727053e-09,1.707298623652837e-07,1.279993245308151e-06,1.98036858271444e-10,4.526632784596709e-08,6.621427245095754e-09,3.8718470170087085e-09,9.82480356341499e-08,1.886295159862074e-06
2.0,6.252054204634272e-09,0.20153934258121523,0.7983857632472761,6.931794300542856e-05,1.1805655436938626e-08,3.0538344892301007e-07,2.1454889835346493e-06,4.026846654794208e-10,7.947986082756042e-08,8.682463275911134e-09,8.217162927317908e-09,9.995312159417761e-08,2.910563190658874e-06
2.5,2.4945412554418218e-08,0.38917406604752963,0.6097103279897127,0.0011075539980707977,7.576866549609535e-09,4.6836800933993437e-07,2.439174821654457e-06,1.222996296934381e-10,9.035636544063888e-08,1.1148114460051648e-08,3.1228770771432516e-09,2.184316284415938e-08,4.985306790965908e-06
3.0,3.432295930069866e-08,0.5230999828222885,0.4713803097276146,0.005508726860762651,7.295644776262414e-09,7.108017382001374e-07,2.2454071524713707e-06,3.4979174504940047e-10,9.966760353987328e-08,1.6837063223760777e-08,2.48790517142709e-09,5.972521115472215e-08,7.803694416839582e-06
3.5,2.8066209236830814e-08,0.5899069347456071,0.39836118428415385,0.011717620906134723,7.59722798155058e-09,9.502924930632039e-07,1.739796492830888e-06,3.708360347623715e-10,1.1177330960268123e-07,2.902441015127734e-08,2.5111846807157157e-09,3.7892225901196857e-07,1.1011709651890703e-05
4.0,1.6894098317288924e-08,0.6206881710818687,0.3641349913862765,0.015159098857654544,1.1312268713052254e-08,1.2052951829067674e-06,1.1605259280278614e-06,3.7049734375159986e-10,1.3025686386777213e-07,4.787121070851236e-08,7.291513574655954e-09,8.022135076862395e-07,1.435664315395371e-05
4.5,8.056492016920475e-09,0.6435023743041023,0.34235266420867655,0.01412376148460115,1.9931444104067342e-08,1.8587195846479954e-06,7.041094267657604e-07,1.5572974892105636e-10,1.8393605354816764e-07,6.717646973627868e-08,1.6936598656550046e-08,9.082460751961459e-07,1.743273464204586e-05
5.0,2.623034281158776e-09,0.6847012395286529,0.3053808225930573,0.009893433064757366,2.94302296126517e-08,1.538732889243879e-06,6.643056551317384e-07,1.867235873396167e-12,1.7108108773138849e-07,6.782598764250409e-08,2.942145100395873e-08,2.596688154688931e-06,1.9404703073124194e-05
5.5,1.3720419367493172e-09,0.7554284765938934,0.23939548539766983,0.00514978333072621,3.471310405181945e-08,1.537622488568907e-06,1.1459398235556865e-06,1.131744405165919e-10,1.976938315685129e-07,4.71799198199289e-08,3.9915654417731636e-08,5.04556920609862e-06,1.8204558534777687e-05
6.0,1.9586219576782623e-08,0.8359094055179883,0.16047324140343022,0.00359209495904686,3.119300247552406e-08,1.7989892949274905e-06,1.948251980690417e-06,3.536641887567778e-10,2.2146262055463622e-07,1.7601353943684783e-08,4.08518933140573e-08,7.615842002916e-06,1.3563987661383908e-05
6.5,1.2535989978817693e-07,0.9065310830327257,0.08045552844154287,0.012992392031684728,2.4473704624131578e-08,2.729797460340645e-06,2.0636578350702786e-06,3.7482667163198283e-10,2.0488278265670268e-07,5.3280213885309125e-09,3.325847655364763e-08,7.2114893258556155e-06,8.597871615020997e-06
7.0,5.73471775114178e-07,0.95198794753729,0.02599277074388789,0.022004448124373594,2.8937559993561414e-08,3.6010215134321227e-06,1.3596454559498612e-06,4.5701314528736545e-10,1.5848909845774817e-07,2.949642709481355e-10,3.1173814204065105e-08,4.571051563152596e-06,4.509051639490316e-06
7.5,2.2717091366980596e-06,0.9765756365869859,0.011661485605187366,0.011752267306681776,4.874086848950668e-08,3.662680571113544e-06,4.5343403623351934e-07,1.1411986459461383e-09,9.988157916181606e-08,1.8540609735333629e-09,4.854277869757303e-08,2.219016539068977e-06,1.8035002696591462e-06
8.0,7.5688154680318985e-06,0.9912374975150522,0.0046637988417625315,0.0040860114184606494,6.862266008763848e-08,3.0787935374181203e-06,4.9275267622288675e-08,1.4604977690921706e-09,4.975268411984784e-08,4.203147271222197e-09,7.119133003696904e-08,9.538350066932698e-07,8.462751554097173e-07
8.5,2.289700637120473e-05,0.9982346042901961,0.0005614050460621042,0.0011776600701016017,8.087643174142114e-08,2.307929051940388e-06,6.088141978178441e-08,1.22629875400437e-09,1.771814990538022e-08,1.2295323382794342e-09,8.113756876399376e-08,4.362262465425473e-07,4.4636267583220897e-07
9.0,6.78969245871334e-05,0.9987469615496388,0.0008690004177315508,0.00031398384464568097,9.49143883888818e-08,1.4820105275563718e-06,2.443505890527617e-08,1.2979226437192412e-09,2.445695280988452e-09,8.122650108700893e-11,9.244208340865267e-08,3.8579292638211693e-07,7.384357855537879e-08
9.5,0.00016647336710752086,0.9976062027385126,0.0021793165883607496,4.6386533688848376e-05,1.2075992146402334e-07,7.862470780674199e-07,1.2724682288269839e-09,1.0193578530387938e-09,4.794908140935502e-10,7.545373766216829e-11,1.1663727911084123e-07,5.620581222728819e-07,3.2223261442563e-08
10.0,0.0002697612721232296,0.9983986115670765,0.0013148133822874731,1.5416062918665662e-05,1.5267216267405054e-07,3.610252994876879e-07,4.9149292519483274e-09,7.161697465635803e-10,3.0782667170430016e-09,2.6593460603758724e-11,1.4809080231678775e-07,7.218313554080434e-07,5.3600900628198315e-09
10.5,0.0002904052588001689,0.9990872195619155,0.0006193849266321554,1.7264505681266854e-06,1.8374689206393187e-07,1.5279697645002565e-07,6.92761549169364e-10,2.8142127303706943e-10,4.976414770391921e-09,2.0534280858415467e-11,1.8071877649411802e-07,7.37734472254132e-07,2.8338509213620423e-09
11.0,0.0003096160832338296,0.9990041275359021,0.0006849390602439254,1.630685635614519e-07,2.1820211163529156e-07,7.055906025064127e-08,1.1058034428849012e-09,2.8950785983607124e-11,5.487367028389423e-09,1.9368085991778164e-11,2.1761912483733133e-07,6.406213722833654e-07,6.088464918459828e-10
11.5,0.0003814108696478191,0.9992411909507289,0.00037624226584697865,9.202520509836115e-08,2.580583052268126e-07,4.984269242621543e-08,5.343327599505096e-10,1.285905906864753e-10,5.414754237471149e-09,2.287399900315707e-11,2.602873032986464e-07,4.888689934715643e-07,7.305843501847583e-10
12.0,0.0005280910040896135,0.9992805191398284,0.0001903639751650032,1.9367630844263506e-08,3.048761509234907e-07,5.64688938394284e-08,3.6524430405516144e-10,6.097447646256825e-10,5.317203831107233e-09,3.0250482408225794e-11,3.097712994596248e-07,3.288299087169658e-07,2.4464531526431563e-10
12.5,0.0008187972775312321,0.9990555580521355,0.0001245871695661644,5.837012117812914e-08,3.6306725993670355e-07,7.11357116186243e-08,2.7411433348632826e-10,1.3454694073637555e-09,5.3198282200229395e-09,4.2833775885134997e-11,3.7005396279914867e-07,1.8770679556190884e-07,1.8473215269185236e-10
13.0,0.0014430028644514777,0.9985054767741127,5.036544022391958e-05,1.0353431030069529e-07,4.375307691566838e-07,8.039603952476175e-08,2.715894616291154e-10,2.064691613642588e-09,5.308288503851973e-09,5.82291622010282e-11,4.4561245276416235e-07,7.995721074379476e-08,1.874575191681652e-10
13.5,0.003011167925631961,0.9969708060594905,1.673175827169972e-05,1.1919507580966369e-07,5.363214958415663e-07,7.285933850264645e-08,3.810605144897531e-10,2.4135747560365456e-09,5.206639352174601e-09,8.202350464412586e-11,5.433100286892332e-07,1.4208543879606316e-08,2.7877961582051414e-10
14.0,0.008699853855795909,0.9912985197886827,1.218835100238884e-07,1.0125829385774606e-07,6.711476242976957e-07,4.125661642183514e-08,5.568202757682763e-10,2.0546721723527e-09,5.179479401405928e-09,1.6617944865728762e-10,6.72217631974291e-07,1.0186584730836796e-08,4.479616932950281e-10
14.5,0.14564820146717444,0.8526997896893166,0.001585498603908914,6.433864597115278e-05,7.507162476943627e-07,1.1679434973662476e-07,8.933307559873807e-10,4.03845559860785e-10,1.460345945741218e-08,1.3192385915243646e-09,7.18080665985027e-07,5.682386246911591e-07,5.438630843236217e-10
15.0,0.16979670549353762,0.8291903163164914,0.0009907901232639434,1.9797766221865494e-05,6.443915976822966e-07,1.3798903384686417e-07,6.800845501426647e-10,5.356876869797611e-10,1.3167376701694733e-08,4.981356704939914e-09,6.119408412848742e-07,9.76463858933387e-07,1.5080123824065488e-10
15.5,0.13938704666914933,0.8604794902654709,0.00012770883917186782,1.718310440969681e-06,4.0355271193735183e-07,7.666089806805374e-07,1.6655330329777793e-09,9.89681700286973e-10,2.2823059028246978e-08,1.1377840210459664e-08,4.0897195925768606e-07,2.419355337586467e-06,5.706877254237114e-10
16.0,0.08397632218426747,0.9158994495368342,0.00011565562276580006,6.972483879456343e-07,1.66967867564354e-07,2.4346156654204154e-06,5.405228913290078e-10,7.503211174901314e-10,3.347847854748195e-08,1.5291248644844225e-08,1.7084348311398472e-07,5.05270286310343e-06,2.1745077271309795e-10
16.5,0.03610933242247128,0.963826699415579,4.9760150319115375e-05,8.142963564415526e-07,6.270551940222472e-08,4.953978966444106e-06,9.119707780610883e-10,3.0365013308078765e-10,3.835094927000586e-08,1.6602516211059416e-08,6.01502796810798e-08,8.260255493160213e-06,4.55945270946508e-10
17.0,0.012225019790343886,0.9877519338909326,2.648652114580734e-06,6.035446554812293e-07,1.1989909787805274e-07,7.841773625976675e-06,4.433457477101911e-09,2.0671345224834615e-10,4.09231117594954e-08,3.5123016580054875e-09,1.1025713093533161e-07,1.1664721842273848e-05,8.39462416718163e-09
17.5,0.009868196434524336,0.9900675109666004,3.9281307115373896e-05,1.2429319470630656e-06,4.4098734731045784e-07,9.507292119242706e-06,6.043661699100284e-09,8.690708360460712e-11,3.788524480364913e-08,1.9955027116897235e-10,4.725587702274189e-07,1.328703929036005e-05,1.6266934497104365e-08
