time_fs,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0.0,5.072306623564939e-16,2.9441203398836275e-09,2.3033158038186349e-10,1.0618174951587909e-08,1.1080878638136745e-08,4.070249457167159e-08,1.961406360411176e-09,1.4743046936101288e-14,0.9999924487024555,2.3669954417120258e-08,9.526636946143264e-08,7.364823753513352e-06,3.8728289131800856e-14
0.5,6.5609521910106805e-09,9.148542541500537e-10,1.633754340214056e-10,6.42170827589573e-09,9.790968019407119e-09,5.120497856624473e-08,1.3312150206397593e-09,0.001396601961089872,0.9985309919455745,1.8523548207676457e-08,1.2632734945431646e-07,9.171186017844112e-06,6.301366828244926e-05
1.0,1.0329984051611278e-08,1.7427025158630208e-10,1.8856983409800684e-10,3.4583711895402018e-09,3.5139488477682687e-09,5.0232362449901886e-08,2.5515098789433615e-11,0.008605466479587445,0.9912348016447113,1.3976300791091958e-08,1.5498603668560939e-07,1.479745167952804e-05,0.00014469753863072368
1.5,5.410782730204284e-09,1.8181255913961117e-13,3.146060151835771e-11,1.676571931939041e-09,1.6237843868568016e-09,2.437595606386803e-08,2.9739873734479862e-09,0.027783883726508654,0.9720858421463112,1.0492557925948292e-08,1.8631358507025618e-07,3.9281272466962795e-05,9.075995577803167e-05
2.0,6.202791578744646e-09,1.2512224034489672e-11,1.6063387042535444e-11,4.947452148619311e-10,2.2710984288144166e-08,1.7818803379733614e-08,1.3969404827517014e-08,0.20153855245957208,0.7981541859038966,5.39008004111086e-09,3.8103414911428257e-07,0.00023748209177692565,6.933189529047837e-05
2.5,2.490316005721088e-08,1.757611983588601e-11,2.1031069821755665e-11,1.4701624166407933e-10,2.0938211807692123e-07,6.359016728212593e-08,1.05993973025771e-07,0.3891717814054364,0.0017739366902075227,8.572593253945367e-09,1.1253686238258765e-06,0.6079452099867525,0.0011075339213898311
3.0,3.430539797533074e-08,2.2042196114262908e-13,2.0861768065151135e-11,6.498113002673148e-11,1.0277559646158667e-06,9.54739184517016e-08,2.9539756770196545e-07,0.5230971370429592,0.00018390238150920075,5.783063462895077e-08,2.084053951995533e-06,0.47120676591079785,0.005508599761308652
3.5,2.8106036598748994e-08,1.543947951875118e-11,6.066448256947508e-12,2.348169176444693e-13,2.635981055583973e-06,1.0477481863037178e-07,5.114783428678545e-07,0.5899052269848258,0.000112088569083078,1.897257643926841e-07,2.496627558390687e-06,0.39825937002861145,0.011717347702179762
4.0,1.6986975708251126e-08,1.6223614051715806e-11,1.5852141460916466e-11,3.04095331654777e-11,5.829805294354866e-06,1.6712773489378835e-07,8.746216124210881e-07,0.6206862177773528,6.547689955357992e-05,4.063498988389089e-07,2.7493109399258507e-06,0.36407953231524237,0.015158728742897982
4.5,8.161860770944157e-09,2.128233407133332e-11,1.8125112618877524e-11,1.9587011140950672e-11,3.872020805263452e-05,3.3519461026742415e-07,1.7503814304975965e-06,0.6434689893935097,2.971882689415043e-05,7.406364338455952e-07,2.9495479215633696e-06,0.34233339966433673,0.014123387925863297
5.0,2.6944089247746202e-09,3.467939385117728e-11,2.602255198729604e-11,2.3806565427078185e-11,0.684678399405721,5.149216063301521e-07,2.8849751579538356e-06,2.809406584660008e-05,1.6500751591718493e-05,1.474757841355659e-06,2.8169393816004342e-06,0.3053761147846363,0.00989319661927805
