time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,4.979810178801808e-40,8.7461903477542e-33,1.0,2.4386026296178526e-33,1.3906609403506942e-31,6.661891846104847e-33,7.729568013984734e-32,5.545064414794651e-32,2.0554525994261446e-32,1.4895360407240744e-32,6.417001453731828e-35,1.1643742623947629e-32,1.9205099382984426e-32
0.5,4.3756528748175846e-08,0.00021955479653794927,0.9996995312927167,8.048552562701335e-05,1.853937564028049e-09,3.4823435404674454e-09,1.804973670357914e-07,4.071108434731938e-09,1.0267022800316417e-08,4.460036297646745e-09,1.911155226427301e-09,3.7038623464733254e-09,1.7438181652618187e-07
1.0,7.453239688928825e-08,0.0002255331579855736,0.9995827936016508,0.00019034502115589135,1.0815489550259487e-09,3.3016231645435207e-09,6.248202208043447e-07,1.7947401783623147e-09,1.3283259664931172e-08,6.255353086159468e-09,1.0537470732130098e-09,4.9776570241238266e-09,5.971187766062981e-07
1.5,8.008221153957668e-08,0.00012476164705468035,0.9997125526282429,0.00016045119091726988,3.0611209378065065e-10,1.5414404994978902e-10,1.07797428084228e-06,5.153840882590381e-10,2.3710688114050776e-09,4.302221871339182e-09,3.3808697342970864e-10,1.073210388161244e-09,1.0674171983140458e-06
2.0,7.614059561444811e-08,0.00014556466046316708,0.9997981166037477,5.3576078814868054e-05,9.534408731756383e-10,1.6448845379221568e-09,1.3086470349279568e-06,1.4629774585070913e-09,4.794440152630256e-09,1.5241645167677426e-08,9.81697994981181e-10,8.28645416555483e-10,1.3319614460726759e-06
2.5,2.076416219270338e-08,0.00013250334163527458,0.9997878255801772,7.709746818930697e-05,7.500500041490222e-10,2.215762066400425e-09,1.2398077169167084e-06,5.764145574186758e-10,1.1494585222917676e-08,4.867894310269337e-08,7.275955437787331e-10,3.6191377758899703e-09,1.2449755913102087e-06
3.0,2.2844836576286578e-09,0.0007026738852064474,0.9990849935683481,0.0002104150929611198,1.183723047768032e-09,1.5702935663019531e-09,9.295050567712281e-07,5.394992214882137e-10,9.873454126557455e-09,8.799479589901317e-08,1.1988511632879288e-09,4.5805969896342585e-09,8.787229068831905e-07
3.5,3.083796552609047e-09,0.005501919145472703,0.9941796044795588,0.00031737158733537065,2.0493078721419694e-09,2.3202237831821845e-09,5.482830550535948e-07,5.963922738483769e-10,7.324608485515265e-09,1.0582922284141761e-07,2.0482649718135047e-09,5.518892213572926e-09,4.2773387745898467e-07
4.0,9.210857838600175e-10,0.036569600653813206,0.9629905707094288,0.00043933503785200024,3.2114463286796647e-09,6.647109146334413e-09,2.6063426400432657e-07,4.4466790513931133e-10,8.01063298784417e-09,9.426987110641717e-08,3.2375494704293644e-09,1.2121506930063788e-08,1.0410085572550777e-07
4.5,1.8144089055485826e-10,0.3317413704541279,0.6674448403123497,0.0008135172456295605,3.825551113378212e-09,3.211791855465391e-08,5.966967468206916e-08,3.670039427754375e-10,1.339863916233052e-08,6.137566945761976e-08,3.915974737083771e-09,4.8028554391450066e-08,4.910755917927775e-08
5.0,1.1086822585407435e-09,0.6864583670182627,0.3114896899761657,0.002051427093420637,5.3200672469979305e-09,1.0212794036294211e-07,1.260244660161207e-08,1.3268538909116518e-10,2.0331531460517287e-08,2.9103614617786547e-08,5.524375521651428e-09,1.6764069117382014e-07,1.7202006621106592e-07
5.5,2.308537590726835e-08,0.8162953120637902,0.17971070294616376,0.003992935646662358,6.380591913631645e-09,1.5463348847723433e-07,4.626378665892038e-09,4.588655845315442e-11,1.708571132697551e-08,8.099436131879063e-09,6.821025552001895e-09,5.160460032331742e-07,3.125196062555407e-07
6.0,1.9832814649414933e-07,0.8562540278889853,0.13873472929639222,0.005008926208285561,5.846857305679506e-09,4.4650619626649034e-07,1.2582646686297062e-08,2.757514835964965e-10,5.619391414943831e-08,6.688964096957003e-10,6.520344798237826e-09,1.3614338481159607e-06,2.2824962113502803e-07
6.5,9.270128874288963e-07,0.8671028015193176,0.12929708375868937,0.0035950902563075624,3.1566815191073287e-09,1.1164384683640738e-06,4.466804669770535e-08,6.39512525235657e-10,1.6385269110347786e-07,6.482568538258372e-09,3.846782887719958e-09,2.6604419991588123e-06,9.792602585597508e-08
7.0,3.005958057253108e-06,0.8536288000085679,0.14493339018748488,0.0014305523261781453,3.4756257147109585e-10,1.2805351626129079e-06,5.57879279975264e-08,7.04761148996285e-10,1.8988712617430733e-07,9.540807929920467e-09,6.387364593946464e-10,2.682360695250181e-06,3.17169336636478e-08
7.5,8.587914615275146e-06,0.6463274621453685,0.35327878697882287,0.00038046957027016814,3.806891357675418e-09,1.5679901637751614e-06,4.900840834368689e-08,1.5599642156086936e-09,2.626543259511234e-07,7.054023865426664e-09,3.19872716158695e-09,2.771834234811265e-06,2.6284183412061224e-08
