#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  2.808530472240E-001  1.097142229976E+001  1.125227534698E+001  8.089551913347E-001  5.825325451673E+000  5.825325591950E+000  5.825325642250E+000  9.057201679628E+000  9.057201886207E+000  9.057202217319E+000  9.341573424855E+000  1.097142229976E+001  1.122096893912E+001  1.122096917344E+001  1.122097153290E+001  1.231021100119E+001  3.496034637322E-007  1.999999845677E+000  1.999999995416E+000  1.999999962211E+000  1.999999804668E+000  1.999999709178E+000  1.999999427686E+000  1.470658903979E-006  1.707174732456E-005  1.999999988254E+000  1.999998720056E+000  1.999983191826E+000  4.630190816682E-007  0.000000000000E+000  1.135449944649E-009  2.234805457846E-011  1.207329029320E-009  1.770615318922E-008  3.089144361601E-009  9.758635125791E-009  6.062428518101E-002  4.047902166434E-001  8.911705592519E-009  1.140778397923E-008  3.818570471058E-006  2.365450004790E-002
   5.000000000000E-001  4.763696145805E-001  1.077163381688E+001  1.124800343146E+001  7.234120758308E-001  5.628638434586E+000  5.628638538334E+000  5.628638576548E+000  8.960497867431E+000  8.960498113279E+000  8.960498445424E+000  9.252921231153E+000  1.077163381688E+001  1.109602123846E+001  1.109602147964E+001  1.109602337312E+001  1.212739547569E+001  3.583657148315E-007  1.999999839952E+000  1.999999993969E+000  1.999999964342E+000  1.999999672589E+000  1.999999684213E+000  1.999999483265E+000  1.595192898387E-006  1.031690129627E-005  1.999999995425E+000  1.999998659296E+000  1.999989951247E+000  4.852440373294E-007  0.000000000000E+000  9.066190998635E-010  2.183481292690E-011  1.079912701320E-009  2.465114780089E-008  2.189130913717E-009  1.090118198491E-008  6.874447153513E-002  3.957409585337E-001  5.978202358295E-009  1.064494737701E-008  2.294615027833E-006  1.870288573072E-002
   1.000000000000E+000  7.279629997919E-001  1.051543643931E+001  1.124339943910E+001  6.212730867311E-001  5.372227950680E+000  5.372228011536E+000  5.372228035267E+000  8.845167455398E+000  8.845167768554E+000  8.845168089784E+000  9.139764297317E+000  1.051543643931E+001  1.091627683553E+001  1.091627709506E+001  1.091627866079E+001  1.188082628185E+001  3.712155476283E-007  1.999999827606E+000  1.999999986597E+000  1.999999973372E+000  1.999999448305E+000  1.999999645794E+000  1.999999482420E+000  1.899351519281E-006  6.919751420325E-006  1.999999999045E+000  1.999998509764E+000  1.999993411160E+000  5.256203984524E-007  0.000000000000E+000  6.519831265847E-010  4.099788728451E-011  8.976020689872E-010  4.022575017974E-008  1.928686835431E-009  1.381379761431E-008  8.136480475541E-002  3.806901472826E-001  3.549717074912E-009  1.078764172713E-008  1.480547594396E-006  1.354114531492E-002
   1.500000000000E+000  9.664673488895E-001  1.027464233103E+001  1.124110967991E+001  5.674818263391E-001  5.130022122614E+000  5.130022143998E+000  5.130022165466E+000  8.771789024263E+000  8.771789442794E+000  8.771789740396E+000  9.059999499399E+000  1.027464233103E+001  1.073676644946E+001  1.073676674772E+001  1.073676806953E+001  1.163550256356E+001  3.873715835285E-007  1.999999827325E+000  1.999999976148E+000  1.999999966636E+000  1.999999059136E+000  1.999999595532E+000  1.999999425327E+000  2.454968941690E-006  5.339253207968E-006  1.999999993642E+000  1.999998240767E+000  1.999995149782E+000  5.841121997082E-007  0.000000000000E+000  4.155775930547E-010  2.031750847951E-010  5.539646034211E-010  7.515784723847E-008  2.608575055908E-009  1.932640534477E-008  9.937496723728E-002  3.589960916561E-001  2.555056773564E-009  1.206744075246E-008  1.042186687227E-006  8.874579391693E-003
   2.000000000000E+000  1.152237217991E+000  1.008903376230E+001  1.124127098029E+001  5.955881617678E-001  4.946093702540E+000  4.946093721084E+000  4.946093773282E+000  8.765577285024E+000  8.765577851096E+000  8.765578122548E+000  9.039857627066E+000  1.008903376230E+001  1.059045824044E+001  1.059045861028E+001  1.059045971285E+001  1.143150470408E+001  4.056571294698E-007  1.999999884473E+000  1.999999997270E+000  1.999999864165E+000  1.999998358214E+000  1.999999511293E+000  1.999999331585E+000  3.399807423065E-006  4.690737106545E-006  1.999999970745E+000  1.999997840421E+000  1.999996096150E+000  6.494825838999E-007  0.000000000000E+000  4.459187089024E-010  1.972762458216E-011  3.395438777307E-010  1.524412454036E-007  6.986252032304E-009  2.797044266770E-008  1.235176948379E-001  3.300726716933E-001  4.225269965176E-009  1.415419386639E-008  7.772218935013E-007  5.382369844985E-003
   2.500000000000E+000  1.280628728533E+000  9.961958474525E+000  1.124258720306E+001  7.039321686383E-001  4.828940964297E+000  4.828940995386E+000  4.828941080311E+000  8.813827338832E+000  8.813828086101E+000  8.813828353997E+000  9.072553173825E+000  9.961958474525E+000  1.048640887879E+001  1.048640935813E+001  1.048641023130E+001  1.127913690320E+001  4.249596019735E-007  1.999999910399E+000  1.999999997861E+000  1.999999808685E+000  1.999997133063E+000  1.999999350792E+000  1.999999270030E+000  4.885293650000E-006  4.523083195002E-006  1.999999925037E+000  1.999997354687E+000  1.999996716092E+000  7.000174064331E-007  0.000000000000E+000  3.143958975215E-010  2.115300070026E-012  2.011282609031E-010  3.132756566816E-007  2.156083260188E-008  3.642885742835E-008  1.541917822858E-001  2.936522675806E-001  9.297599458700E-009  1.521941617708E-008  5.850080470787E-007  3.397310232462E-003
   3.000000000000E+000  1.365887552785E+000  9.877999287767E+000  1.124388684055E+001  8.735093091524E-001  4.768264316804E+000  4.768264353660E+000  4.768264466095E+000  8.887326288408E+000  8.887327230496E+000  8.887327530528E+000  9.137539790989E+000  9.877999287767E+000  1.042247740584E+001  1.042247801546E+001  1.042247865138E+001  1.117303613018E+001  4.448359775834E-007  1.999999924013E+000  1.999999998920E+000  1.999999763224E+000  1.999995358752E+000  1.999999158695E+000  1.999999282108E+000  6.796926675772E-006  4.531149532517E-006  1.999999866037E+000  1.999996907044E+000  1.999997248493E+000  7.198020615594E-007  0.000000000000E+000  2.034206057275E-010  3.811113939362E-013  1.103470210340E-010  5.937318838407E-007  4.606676731287E-008  4.142601394125E-008  1.915460297261E-001  2.498097586066E-001  1.629953823510E-008  1.277524192790E-008  4.207473985303E-007  2.728656447721E-003
   3.500000000000E+000  1.424379923774E+000  9.820345475930E+000  1.124472539970E+001  1.085103967284E+000  4.751548058380E+000  4.751548094034E+000  4.751548229081E+000  8.960755767602E+000  8.960756884421E+000  8.960757222019E+000  9.216533955998E+000  9.820345475930E+000  1.039511885207E+001  1.039511957453E+001  1.039511999846E+001  1.110593985166E+001  4.656717903828E-007  1.999999936874E+000  1.999999999509E+000  1.999999719199E+000  1.999993644354E+000  1.999999073553E+000  1.999999309734E+000  8.401625352923E-006  4.462634814822E-006  1.999999819497E+000  1.999996635114E+000  1.999997824191E+000  7.080434942171E-007  0.000000000000E+000  1.259765455276E-010  9.039841358910E-014  5.394045183248E-011  9.418265934653E-007  6.558121351929E-008  4.767031376894E-008  2.354633867938E-001  1.990538564370E-001  2.137203920139E-008  7.577675755158E-009  2.754717306215E-007  2.800551574602E-003
   4.000000000000E+000  1.466871933593E+000  9.778246092716E+000  1.124511802631E+001  1.326351115531E+000  4.770687312874E+000  4.770687342918E+000  4.770687497746E+000  9.020545069444E+000  9.020546289214E+000  9.020546632695E+000  9.298767503254E+000  9.778246092716E+000  1.040234563752E+001  1.040234641793E+001  1.040234669206E+001  1.107414235368E+001  4.883140356598E-007  1.999999949227E+000  1.999999999813E+000  1.999999676544E+000  1.999992904255E+000  1.999999118053E+000  1.999999311350E+000  8.809907360908E-006  4.172900672627E-006  1.999999807187E+000  1.999996554014E+000  1.999998536688E+000  6.717475956500E-007  0.000000000000E+000  7.458601158416E-011  4.018162871917E-014  2.121024142282E-011  1.194716215561E-006  7.123319055400E-008  5.872552107641E-008  2.854571749281E-001  1.423069666384E-001  2.162184263416E-008  3.548017887347E-009  1.604661542806E-007  2.989100561502E-003
   4.500000000000E+000  1.497903949167E+000  9.747152399939E+000  1.124505634911E+001  1.590839181994E+000  4.821137469782E+000  4.821137492261E+000  4.821137666024E+000  9.062813112808E+000  9.062814337948E+000  9.062814646470E+000  9.378605606053E+000  9.747152399939E+000  1.044289186596E+001  1.044289263285E+001  1.044289284165E+001  1.107673626454E+001  5.137922536475E-007  1.999999959934E+000  1.999999999952E+000  1.999999635280E+000  1.999993299373E+000  1.999999231580E+000  1.999999280262E+000  7.999688911035E-006  3.666711967682E-006  1.999999826954E+000  1.999996689054E+000  1.999999279534E+000  6.178850335298E-007  0.000000000000E+000  4.122906311009E-011  2.380567898765E-014  5.215437812219E-012  1.240124552624E-006  6.460002641269E-008  7.423200681752E-008  3.403651408797E-001  8.096777341786E-002  1.791566003910E-008  1.535628841461E-009  8.652284399520E-008  2.912252786125E-003
