time_fs,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0.0,4.1121741903472857e-16,1.58125794713308e-10,8.515365092503485e-13,1.970344634083967e-09,1.0736636086646519e-09,1.2360011480903554e-09,1.6515266070485854e-09,5.067620307919659e-16,0.9999991005086022,2.3113343519149857e-11,4.392008254313771e-08,8.49457706706574e-07,1.4927745765134219e-18
0.5,7.887790864583994e-11,4.948337230912455e-11,2.3809483386246847e-13,5.833926567018683e-10,8.699317411031427e-10,7.83350156394082e-10,9.282753785296788e-10,0.00010317887837006659,0.9988459216423039,1.2509540054790377e-09,3.2923402284088146e-08,4.74812120057881e-07,0.0010503871992526713
1.0,3.249348621261589e-08,5.649109552507143e-12,9.927319259902871e-13,1.642647102644548e-10,1.854474752707792e-10,5.873485510054705e-11,3.484979474634619e-10,0.001399877728783851,0.9963883346358878,6.071542072978006e-09,2.4567440577778953e-08,3.031901536502122e-07,0.0022114205490967615
1.5,1.0856672652850112e-08,9.667439627666792e-13,1.7189115050727787e-13,1.994861339449367e-11,1.0491921914064856e-09,2.3055549308361613e-09,2.3281657686132789e-10,0.019251220583668707,0.9797127716235086,2.524663336235397e-08,2.425222013134524e-08,2.1824774557337755e-07,0.0010357255808557413
2.0,2.00732329671128e-09,2.791964963331311e-13,2.858980259025307e-14,8.094077668039818e-12,5.4383126294776073e-08,5.626563926646047e-08,9.317176678319353e-10,0.3757007452637004,0.6242245084961913,3.103691080097434e-08,7.808172903134908e-08,1.4399829717941435e-07,7.437952689938716e-05
2.5,5.388261231478794e-10,1.2149827576250152e-12,4.599713275866784e-13,5.955706456306276e-13,0.8019624482728644,3.6936738004477904e-07,7.560172775367557e-10,1.547790932956618e-05,0.19784955880543073,2.3155841893478127e-08,1.7293729290348855e-07,4.346164403890206e-07,0.000171513638310866
3.0,1.9319610795631447e-09,1.5506669550958883e-12,1.824362590274565e-12,4.508336864497364e-12,0.8903657487131416,6.782009785834747e-08,1.6435432324698689e-09,3.0866713869231896e-07,5.300476281596119e-06,1.4629821414807144e-08,1.0424208855597822e-07,0.10877527100466912,0.0008531808632961247
3.5,1.6282927442948413e-08,1.3682533966985559e-12,2.190908452170733e-12,6.634244610760161e-12,0.9263135656755289,4.3455706091031836e-08,9.453796556088239e-08,4.988697886929153e-07,3.93976852117401e-07,5.292789258408328e-08,1.0872395985608697e-08,0.07273997343185494,0.0009453499588898011
4.0,7.043921186434745e-08,1.3424700122012642e-12,3.63848801415916e-12,8.77221361075032e-12,0.9549088400307894,4.2205276463398704e-08,4.868257911073166e-07,2.4045827907757183e-07,2.0298810171714054e-07,4.4807058198469664e-08,4.861337105568832e-10,0.0003976031799657855,0.04469246856558484
4.5,2.3557446443213057e-07,2.0665044940340017e-12,2.377022299675019e-12,1.1342990166333224e-11,0.9772050439247888,5.576267408519802e-08,5.254360310549791e-07,7.721398260789769e-07,0.0009557464427737482,3.1862921959249735e-08,7.772016052363948e-11,2.978784432360864e-07,0.0218372908845463
5.0,6.087937619170306e-07,2.150172437206529e-12,1.1176786430584574e-12,1.3121962987452203e-11,0.987730283589169,2.047209547228811e-07,5.216561079479715e-07,2.804457428594123e-06,0.004420644404305666,1.9943666020473477e-08,3.9279784297086787e-11,9.979516833031033e-08,0.00784481258385191
5.5,1.3231044467588633e-06,1.5763012603646466e-12,6.717381220009396e-13,1.8347641459381618e-11,0.9889675813666834,4.486017106765596e-07,4.779085051071726e-07,1.4445466021285714e-05,0.008385511646594752,1.1666075874716208e-08,2.0283975811485102e-08,8.294171262733836e-09,0.0026301716412353952
6.0,2.720650911796169e-06,2.7193915501964985e-12,2.801312720238422e-13,2.9232911609914186e-11,0.9888364851474319,5.444110494417681e-07,6.268105078179233e-07,0.00022720233850156667,0.009672917778138081,5.687301890592073e-09,3.92652679196978e-09,1.8212953018612623e-10,0.0012594930352618971
6.5,5.483543762815433e-06,4.623437201094371e-12,2.5563298461486703e-13,4.993105351175753e-11,0.0005437798906833832,6.216781459961615e-07,8.193937341173662e-07,0.9907714086803648,0.008293918337281263,2.756765024253795e-09,3.2921601032121797e-09,5.2820405072518064e-11,0.00038396231952609667
7.0,1.1775448440248971e-05,5.91645126568625e-12,6.847467651544631e-13,1.224190442202108e-10,7.407715400986106e-05,6.630233942912203e-07,1.0069732387646602e-06,0.9940858768319348,0.005761037548399045,1.2749330820012402e-09,1.9198023158756153e-09,5.829530849448366e-11,6.555963845328267e-05
7.5,2.8977580190901044e-05,9.334917349203687e-12,2.1732566779960087e-12,3.844709994889053e-10,3.6715169204837394e-05,6.763582279239229e-07,1.2153934431811254e-06,0.9964981798111102,0.0033812434213014216,2.497608594174651e-10,9.559527972928311e-11,2.282463008104183e-12,5.2991522996647476e-05
8.0,6.962341062533334e-05,1.509939505709653e-11,4.629889899971312e-12,3.231981336536524e-09,2.3173374821453768e-05,6.724092613261389e-07,1.4804069776092766e-06,0.9978742128562575,0.0020307965378024077,1.481752648230263e-10,1.259571401348468e-10,4.6093322887633215e-12,3.747381590680901e-08
8.5,1.3357663995654382e-08,2.444587018225192e-11,8.895838956195114e-12,0.00011969657752947954,1.532957148368199e-05,6.669598050727284e-07,1.8009995425409527e-06,0.9984754403308924,0.001377451030760366,5.208303753052689e-12,2.930571772438643e-11,7.2159090671162595e-12,9.601097299231762e-06
9.0,4.752199044110889e-10,4.1469707833451707e-11,1.5325201659156364e-11,0.00014496381729637436,1.063497117826876e-05,6.723883093174511e-07,2.1485953311513323e-06,0.9991799904268057,0.0006595334721887127,2.8763024759833845e-11,4.466509841698995e-12,8.27663992665337e-12,2.05575541673687e-06
9.5,2.4305438957197195e-10,7.236541626867004e-11,2.2626572902845456e-11,0.00018054586111112628,7.920024131180644e-06,6.876095827241028e-07,2.508505090363799e-06,0.999611774128692,0.00019434507851280795,3.2829058044115047e-12,3.001799932417652e-12,1.0209284814918513e-11,2.2184383720471455e-06
10.0,4.708232354139158e-10,1.3428399686116857e-10,2.7039099336406408e-11,0.0002558731440711733,6.903416440067138e-06,7.075624570218484e-07,2.6842331682611548e-06,0.9996072657028405,0.00012538715505066306,5.026964227551617e-12,1.9560087492336583e-12,6.656775558456072e-12,1.178140240866368e-06
10.5,3.918287692272793e-09,6.026921212932015e-11,4.580688593093928e-10,0.00039187894058595793,0.9994950151337139,8.183199409817754e-07,2.9424243229921232e-06,3.118789937122755e-05,7.755932091681392e-05,5.987757144534862e-11,6.612456000300547e-11,2.4331709463478635e-10,5.931552301091671e-07
11.0,1.246568209626358e-09,1.9731385752746587e-10,6.256735095044032e-10,0.0006744389728942251,0.9992644375849672,3.213202571274184e-06,1.7086343714168386e-06,1.9380406080444276e-05,3.652402818692712e-05,2.5967031481332588e-12,3.010492247494967e-11,1.8464281902034182e-10,2.9488403926585695e-07
11.5,7.174452653349249e-10,4.099955686818251e-10,4.6527034302450526e-10,0.005107486575505728,9.619644746380009e-06,9.289312624088617e-07,7.583957459121867e-06,0.9923075468768819,0.002566805003490883,1.641132535707988e-09,2.2129500110595088e-12,9.948425238508102e-11,2.567524694675985e-08
12.0,1.193200386782563e-09,7.533314570290414e-10,5.502266872454452e-09,0.018343661081170977,1.0156516108159052e-06,9.67079380142063e-07,1.2393790373364599e-05,0.9800771132075174,0.001564737351548624,3.421758059201163e-09,6.781668651994595e-12,2.2783050226132445e-10,1.0073318289309267e-07
12.5,6.292287209431648e-10,1.0099871645750972e-09,1.1066729538552212e-08,0.038741658491776736,5.687896919335955e-07,9.554320639433996e-07,1.6991054601391236e-05,0.9608567058212433,0.0003825058406345496,2.028420071913779e-09,9.820634586080235e-12,5.447633289472714e-08,5.453494830104771e-07
13.0,4.0938574089550027e-10,1.3488401003291793e-09,1.4336322850310965e-08,0.0610809324033879,4.1769267417974594e-07,8.933475835157779e-07,2.2418129987614342e-05,0.9388199886355736,1.381895896584584e-09,1.3246380520770378e-11,6.506020290173295e-12,7.53210186722284e-05,1.1275951641999046e-08
13.5,3.3339624985027147e-10,2.151639778865564e-09,2.5444079919847163e-08,0.35533146026536616,3.279746903768867e-07,8.359448037793877e-07,3.1892083955031e-05,0.6445563412555069,1.247559996077792e-09,3.034594994604081e-11,2.6567801927868823e-11,7.874408662013861e-05,3.6915547276688504e-07
14.0,7.028648904886402e-10,3.2919356329637785e-09,2.962993355482299e-08,0.5611489192453964,2.53341340041471e-07,8.320737788903974e-07,5.647843810092156e-05,0.4387774565079609,6.678546708359602e-11,1.980103308855601e-13,4.8326477865652865e-11,1.5104229870563852e-05,9.224235830599954e-07
14.5,2.252413673616503e-09,4.86368188092212e-09,8.579710066787487e-08,0.6717424344148768,1.861155653036717e-07,8.58331891966907e-07,8.929013018789597e-05,0.32815819009243313,2.6604016925161113e-12,1.8466001276247668e-12,4.064690345101261e-11,6.39571502244609e-06,2.55224163953994e-06
15.0,4.526541095171097e-09,5.340188986236677e-09,2.202289850072834e-07,0.4136733675062833,1.0115760550271914e-07,6.912821923294752e-07,7.395348510420958e-05,0.5862487755207949,3.448316600735839e-10,8.811159349609506e-12,1.135380061452272e-10,1.3561697479769535e-06,1.52431524565358e-06
15.5,5.357035794073645e-09,4.183939856807101e-09,2.95906225736916e-07,0.25184688575727743,5.3734972592828555e-08,5.382124096172221e-07,4.2718096055472976e-05,0.7481014062782358,6.086633055111435e-10,3.990528601617695e-12,1.54161573093365e-10,3.3984363600015227e-06,4.693270711316306e-06
16.0,4.910793572929612e-09,2.6462210633270997e-09,2.7291793081881526e-07,0.16519503210370412,2.834326925598317e-08,4.243613791606791e-07,2.3269055052080845e-05,0.8347714219848783,1.6062377764242112e-09,4.87393407390462e-12,2.0312446465605076e-10,3.0902170458399504e-06,6.451645429028983e-06
16.5,3.004951304491972e-09,1.4436484964722416e-09,1.8304014489511633e-07,0.11916507965312137,1.7272920126323674e-08,3.400609759189523e-07,1.428888425430291e-05,0.8808112846021562,1.8456794056692281e-09,4.655091869068078e-12,3.384358179943911e-10,1.6194511765494657e-06,7.1803979207557465e-06
17.0,1.0265088292943752e-09,6.677396669953127e-10,9.130771487671639e-08,0.08467881718913514,1.2362072048715818e-08,2.748907828900347e-07,1.0241539174449422e-05,0.915301951889151,1.7342646596620538e-09,1.0412857680512487e-12,5.770895372211076e-10,2.2204118029025413e-06,6.38640357803672e-06
17.5,1.9314308007964975e-10,2.5780478754139047e-10,3.674069779624243e-08,0.05471528656454204,8.977407065556572e-09,2.2321614408941473e-07,7.795136502754847e-06,0.9452668103873827,2.1726568890856414e-09,1.4915792955676246e-13,8.523782584177874e-10,3.6270651070400165e-06,6.2084361035994595e-06
18.0,1.1619836482957682e-10,9.423836765216318e-11,1.3570934801108614e-08,0.03398509590763431,6.446929242147903e-09,1.8362353221047228e-07,5.776854012273132e-06,0.9659998654237679,2.685010069471113e-09,5.206405051137153e-13,1.0258181133908796e-09,2.981912948405482e-06,6.072338418296531e-06
18.5,1.0469737480878856e-10,3.7129632032266435e-11,4.058652778273514e-09,0.022667083904692423,6.048712318345804e-09,1.5468422451823202e-07,4.135647326290472e-06,0.9773218731942267,2.716371189912957e-09,5.946552199650948e-12,1.0412340034664804e-09,1.2806878676306643e-06,5.457868964892906e-06
19.0,7.371307928992597e-11,1.0078768816603886e-11,5.710416677233996e-10,0.01568995092914362,8.208964186698341e-09,1.3262527790604278e-07,2.9545076127005817e-06,0.984302083710289,2.4539011414975055e-09,2.3589176224508695e-11,9.511978107264142e-10,5.692037733522588e-07,4.296731449304916e-06
19.5,2.6208115006988752e-11,2.1554396498035382e-13,1.9436709117074448e-10,0.010659114029319197,1.1136252051209801e-08,1.128933570759556e-07,2.0394636236591183e-06,0.9893351074961608,2.019081687769124e-09,6.526641607915668e-11,8.034789448241711e-10,4.5208247715369894e-07,3.159790190671347e-06
20.0,2.229274701873804e-11,8.626042408634515e-12,7.46623777320519e-10,0.007941698464401988,1.2770031938000417e-08,9.297328754592998e-08,1.2187098745406161e-06,0.9920547805884119,1.4005844159383405e-09,1.414697923205523e-10,6.521218958857116e-10,1.4497254746635647e-07,2.048549731576665e-06
20.5,7.34643150286997e-11,1.7682036793828548e-11,1.1584555870354583e-09,0.006207871868466383,1.3333645273017923e-08,7.35753250893901e-08,6.17069704098045e-07,0.9937903441298553,8.375408163458337e-10,2.4332964128773283e-10,5.967950557066432e-10,9.610535579436541e-09,1.067485117816907e-06
21.0,4.25253232315162e-11,1.3689330845761961e-11,1.2453736279315214e-09,0.0037889738150467763,1.4055557869975564e-08,5.664399449782434e-08,3.4575112102489835e-07,0.9962100610106666,4.672418232706767e-10,3.6064751618871157e-10,7.617657974103058e-10,1.3574036755496757e-07,4.1009201559924573e-07
21.5,1.1764937302712802e-11,1.1853838789258335e-11,1.529392300566217e-09,0.0017454593620170476,1.447155673547947e-08,4.227091931965592e-08,1.6266017226750673e-07,0.9982538937441637,3.3580875137325415e-10,4.933188062816558e-10,1.26031640266381e-09,3.1338621115778037e-07,1.104624796153592e-07
22.0,5.935915118052166e-11,1.5809580128664844e-11,1.8511932055894036e-09,0.0014503335587955433,1.3291414350777401e-08,2.9386563157839776e-08,1.088449628875225e-07,0.9985489777317939,4.555963752482927e-10,6.337654981863984e-10,2.1271137467346004e-09,5.197348360562485e-07,1.230880554378607e-08
22.5,8.260086939474713e-11,1.476185386702789e-11,1.559185269144642e-09,0.0017989629281915975,1.0715216251654162e-08,1.8675505286378186e-08,7.386331982365516e-06,0.9981927006010691,7.50200817992768e-10,7.740081330282411e-10,3.280696445510935e-09,9.060448301820818e-07,8.241765660545166e-09
23.0,4.632571356069498e-11,1.0349946519306786e-11,9.954926509192273e-10,2.0889638775343702e-05,8.37544208180663e-09,1.157370567413813e-08,0.0012969332030611964,0.9986804436317257,1.0542965629608642e-09,9.156672432560376e-10,4.463452881532223e-09,1.6193364500783842e-06,8.675518996611066e-08
23.5,1.2321993158050496e-11,7.556417531449589e-12,7.668864698507362e-10,1.0132027945789511e-06,7.360110226677134e-09,7.638961608987786e-09,0.0003399408667352014,0.9996562919215376,1.1319577340299932e-09,1.051319356902371e-09,5.154135072217207e-09,2.5255421408441397e-06,2.053434649975123e-07
24.0,2.4949687885082676e-11,6.196691031020982e-12,7.423344397336042e-10,2.717265305917384e-07,6.781780831953725e-09,5.214324188678207e-09,2.8010089873224617e-05,0.9999680225644564,9.251276930030985e-10,1.148038425154935e-09,4.869877854382091e-09,3.397937025195121e-06,2.779694488439017e-07
24.5,5.24669043686045e-11,5.3806779003116674e-12,5.921110333921965e-10,4.3997588732676187e-07,5.208744402234125e-09,3.353813086346779e-09,0.0005648452893789967,0.9994302016903106,1.0604136248951129e-09,1.160488725607369e-09,4.347088901998715e-09,4.195138390947316e-06,3.021255822671808e-07
25.0,4.055269197226482e-11,4.029813119490792e-12,4.395107244788159e-10,3.959997461330965e-07,3.2084247348784074e-09,2.0284842975153845e-09,0.0011271556637369791,0.9988672133077048,2.751502323721366e-09,1.0624944775688914e-09,6.347208983991133e-09,4.887410085295073e-06,3.317366173532845e-07
25.5,9.4989122933497e-12,1.7806224497912344e-12,4.070956303206559e-10,1.6361327418506536e-07,2.3863803426888466e-09,1.2689584418864332e-09,0.0011008143736423392,0.9988933844846637,6.569637651677873e-09,8.674278090380959e-10,1.3546353577304696e-08,5.258228793562501e-06,3.542425010759163e-07
26.0,3.5337594399323106e-12,4.738075207131223e-13,3.0561679740695007e-10,1.3731122312221357e-08,2.5957015323304507e-09,8.571824788768915e-10,0.0007397895297882832,0.9992545578818202,1.1414198012019407e-08,6.253099338107129e-10,2.49424333179947e-08,5.2566059742680475e-06,3.4150684362788993e-07
26.5,1.486808016805513e-11,9.8544941697228e-13,8.637490155729716e-11,2.7123396429975697e-08,2.4463578881716063e-09,5.855778191332155e-10,0.0006541271425930703,0.999340613264637,1.48311721773822e-08,4.010545681350253e-10,3.50206681626209e-08,4.879036911485434e-06,3.0004532372653565e-07
27.0,1.8861361151317888e-11,1.9701497583523325e-12,2.4601878428094672e-11,9.590404981234135e-08,1.4761167162675565e-09,3.811706210062947e-10,0.0011168611272231843,0.9988786159149077,1.4542122388590904e-08,2.4462366233748326e-10,3.70112092040545e-08,4.134443701352715e-06,2.389095018864245e-07
27.5,1.1310367175398317e-11,1.862062960553843e-12,6.70135231040399e-10,1.162552241390753e-07,4.044078078781081e-10,2.342343526987157e-10,0.0018065875347318796,0.9981901361611782,1.0230569327249994e-08,1.700663061724126e-10,2.8107453974795288e-08,2.981005608083137e-06,1.392130969926453e-07
28.0,2.223750940838429e-12,8.617584473944838e-13,4.2463816748170914e-09,8.68944654258562e-08,2.495182522176496e-10,1.5399236373322616e-10,0.0016418024953592206,0.9983570204009384,4.3747176768125836e-09,1.4743764054194035e-10,1.2569258433219724e-08,1.0609709398189642e-06,7.493917708309963e-09
28.5,2.7021538771933278e-11,1.2013219431180763e-11,3.7158486260446654e-08,6.174367387769515e-07,5.366024364707477e-09,1.584022535343528e-10,0.9022750530203625,0.09772315926822567,1.4849181055732732e-09,8.463686166550765e-11,1.4196152376322977e-09,9.212020119700075e-07,2.0336141691077055e-07
29.0,2.8228067286356954e-10,1.962796234517573e-11,4.389037215312951e-08,4.296558653365894e-05,1.6623936748197847e-08,4.438871595376259e-10,0.9942674515466026,0.0056892015995270405,1.0161410381171703e-09,2.639660263451517e-12,2.664032527221479e-09,5.613276707758968e-08,2.6019155987713046e-07
29.5,3.0685055652833547e-10,3.912075299420755e-12,5.9149514415516865e-09,0.9821452516057817,2.4851795883746688e-08,1.500619364542809e-09,0.012670021977399698,0.00518196021210488,8.859951057218261e-10,2.4738390231385803e-11,1.2353175693825892e-09,1.9885399747698814e-06,7.429405278754932e-07
30.0,5.580583083686857e-11,4.308448500785262e-11,2.6633898467061487e-08,0.9968007210671005,3.242477664642423e-08,3.3440337930674262e-09,0.0001253320632656483,0.0030725611524137974,1.2972206973118946e-09,1.2233685580215308e-11,2.2958913543026206e-10,1.0503176043198621e-06,2.713589614777234e-07
30.5,1.410689374057989e-10,3.4836654789783265e-10,1.4463261785723388e-07,0.9969016361357236,4.414369243681215e-08,5.809112016369738e-09,4.530703617982861e-05,0.003051647178896241,6.12072423267533e-10,5.844976956196635e-13,7.572178580159324e-11,1.0695463757971271e-06,1.4433963369823192e-07
31.0,7.148756375002559e-10,6.742797905362781e-10,2.189074186298022e-07,0.9989335356862747,6.541016390677264e-08,7.260284930519195e-09,2.8270446142076945e-05,0.0010364985309106753,5.743601150405868e-10,2.7364504467756734e-12,3.62659199786004e-12,1.109194782916986e-06,2.9259416578850945e-07
31.5,7.454998013982389e-10,4.907167797977889e-10,1.5487427413310562e-07,0.9999736825430596,9.698958915906317e-08,5.86546532497752e-09,2.113055541967591e-05,3.450190927086927e-06,5.171802499488402e-10,1.4699197285980169e-12,1.9474272999405108e-11,1.168860252876954e-06,3.0834661492168003e-07
32.0,1.5936131240394105e-10,8.655804446106767e-11,5.6420352276824335e-08,0.9997354290130254,1.239137465408745e-07,2.5720539275630816e-09,1.5278415457771293e-05,0.00024739293749705647,2.403835760959778e-10,5.99451757973989e-13,1.3922730376153024e-11,1.4323217039606248e-06,2.8390540436276733e-07
32.5,2.6776975114528114e-11,1.0062531765239983e-11,1.601087856231337e-08,0.9999185672994018,1.220702421173874e-07,4.1166010629828407e-10,9.490410335050993e-06,6.928517482590691e-05,2.5011417963416757e-10,8.875152391670602e-13,1.3225038116029986e-11,1.9618130549836083e-06,5.565085724156318e-07
33.0,1.1193284566381564e-10,4.765694083359633e-11,6.737121886611889e-09,0.9999506439324564,8.843672010495624e-08,3.9770532701419583e-10,4.8632933245954434e-06,4.0867353455412325e-05,7.329540831544863e-10,1.0095170395968387e-12,3.918507022741797e-12,2.7584735439956497e-06,7.704781826662995e-07
33.5,3.3842407071010835e-11,2.5896887740245386e-11,6.518805298850892e-09,0.9999470051807525,5.0547783934431644e-08,1.3800793319995968e-09,2.2159552111425877e-06,4.521705135815574e-05,2.2567670230243636e-09,2.2584056395984256e-13,7.531431038574148e-13,4.178465677762351e-06,1.3225828376802026e-06
34.0,2.639453125083105e-08,2.0614388614939716e-08,8.935941721286449e-09,0.9999597513303492,1.1688147396349204e-09,1.349040649569223e-06,5.828923848608033e-08,2.9054193294648255e-09,1.4249815226811457e-08,1.9210512298151198e-07,2.9954515956450716e-05,6.442812108122538e-06,2.1776375480154875e-06
34.5,1.9701255527659093e-08,1.755792547240935e-08,8.360684056599492e-09,0.9999472944926074,2.7711085296220043e-09,1.0268398017616325e-06,5.3295932615915006e-08,2.106031393998889e-09,6.133509880626567e-09,9.51672366184017e-08,3.942654924180127e-05,8.565623864679369e-06,3.4814008319509452e-06
35.0,1.3340478061731036e-08,5.3097991515578364e-09,3.567302662504914e-09,0.9999440221728965,1.2623303675726047e-07,8.103904297430695e-08,9.37367016515919e-09,3.927323293051996e-08,8.281356987757554e-08,4.68542727215507e-07,4.254244589845532e-05,7.893512141239623e-06,4.712376260703095e-06
35.5,3.340257828841378e-06,3.967833115135031e-09,2.840004338163287e-08,0.9776937211073552,3.860630937255265e-08,3.89844944013143e-08,2.581473900685312e-09,1.8462991280005458e-05,4.7902389943199314e-08,1.095486092008905e-07,0.011973882311038943,0.00358228905150615,0.006728034289813169
36.0,3.977854662781907e-06,1.9611791191680956e-09,4.7244006591230504e-08,0.9884639764455755,2.468716364509741e-08,1.1515210871432674e-08,1.1580685171796538e-08,0.008904605177041822,2.8635465413967435e-08,4.60701583697801e-08,1.3560844963266942e-06,0.000741138145552542,0.0018847745987356425
36.5,4.540206547751181e-06,1.00798340065794e-09,6.367395504535283e-08,0.9964768089738402,1.3773622564278167e-08,3.1779151248914373e-09,2.8738531223915415e-09,0.0030008204039491293,1.247939161339459e-08,1.6339460507511867e-08,2.0673675236172432e-07,6.082797822920356e-05,0.0004566823745293124
37.0,4.845063395843105e-06,2.1166311902696792e-10,6.870763317913675e-08,0.9982019575001642,1.1492212625931852e-08,7.633541393173174e-10,3.894704388973833e-10,0.0014482468027749635,3.3490291695865923e-09,5.513052864577137e-09,8.572822382975429e-07,0.00022575437411379793,0.00011824855089322386
37.5,4.917387505489445e-06,3.252582619935073e-11,6.4364887594129e-08,0.9992783383759951,3.483210550303653e-09,1.3215393956750427e-09,1.2763533865521785e-08,9.34223262120325e-08,1.8195350904013924e-09,1.9604195322271407e-09,4.29147257866528e-05,0.0006422507994482899,3.139954326913986e-05
38.0,4.83502447163161e-06,3.1496730784129865e-10,5.6597818323306424e-08,0.9997638865062141,6.525334289563499e-09,2.8271649908230453e-10,1.1869561417279737e-08,4.115719871596535e-05,7.247036165182287e-09,8.468451416560398e-10,1.0352277056982852e-09,0.00018441968216821133,5.6168689516620554e-06
38.5,4.736901993692729e-06,8.214214862841956e-10,5.632912663508011e-08,0.9998903709781692,6.220343173829174e-09,3.7672005894119664e-10,2.838518092956563e-09,8.447087658336465e-06,6.65325227016001e-10,2.1251236879203626e-10,5.170841429411207e-10,9.495454304230454e-05,1.422508139966037e-06
39.0,4.736129564964046e-06,1.2455658583716894e-09,7.603444918834334e-08,0.9999199127193087,2.659765109110652e-09,1.5033517065794648e-10,2.7665328465568417e-09,2.9102939383747784e-05,6.818006115372847e-10,5.899657290773573e-11,1.852327111528171e-10,4.543814904002098e-05,7.262800999798709e-07
39.5,4.944540700302202e-06,1.7041268250829857e-09,1.264814464906413e-07,0.9999489601812146,3.6682087877922247e-10,1.3083053867130671e-10,1.9481539779429475e-09,4.32913221263449e-05,5.225015531534635e-07,2.8295160489462543e-11,3.8211478169780847e-11,2.9100521239766523e-11,2.1507273645614005e-06
40.0,5.523240107202943e-06,2.2200383447827167e-09,2.1497476274573941e-07,0.9999403941126368,1.8446375018427015e-09,1.7426834981406707e-10,2.7178573973237657e-10,4.916910890286482e-05,8.080040343902945e-07,2.116061203114847e-11,1.8686540443360395e-12,2.6887896001618467e-11,3.885998848706354e-06
