time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,2.6550634035341484e-39,1.973132241605835e-32,1.0,6.980694357782118e-34,1.3894302621895854e-32,6.334234456629875e-35,2.3602191567048152e-32,1.4608076021894843e-32,1.7256595219650274e-31,1.1782140573314816e-33,3.27386447831103e-33,7.912557547447712e-34,1.179437081109244e-31
0.5,8.120895274454959e-11,0.00010317759835512928,0.9988461241231081,0.0010503894249923864,2.177918033638851e-09,3.1887385798591855e-09,1.1017909684985464e-07,6.612478276575135e-10,3.781177108548141e-09,7.310728439402656e-08,2.1383409593741324e-09,3.914223585693412e-09,1.0962428910489175e-07
1.0,3.258545248050649e-08,0.0013998692674140909,0.9963877815367735,0.0022114211236433923,2.2550305452211054e-09,7.155525136496727e-09,3.2736747876434597e-07,2.468129872371021e-10,4.028433609077078e-09,2.0917413752494884e-07,2.4441771306570163e-09,8.179450981415336e-09,3.346357078756068e-07
1.5,1.0890227271300919e-08,0.019251192562005078,0.9797118311676484,0.0010357177576265984,3.714047335472634e-09,1.3172095539062535e-08,4.599738449937304e-07,2.4070036752488558e-11,2.5558899067307417e-09,2.597298002849687e-07,3.975599510727799e-09,1.3053485973626374e-08,4.914235843592424e-07
2.0,1.9771203538631613e-09,0.3757013892960424,0.6242229919603475,7.437470375697375e-05,4.609246687485544e-09,2.87876456593206e-08,4.5355427223667167e-07,1.2113493740088804e-10,2.442207150254705e-09,2.0906024758191398e-07,5.276340361573932e-09,3.198831501767992e-08,5.062232373975976e-07
2.5,5.292469127800022e-10,0.8019780744997631,0.19784942446154735,0.00017152205852798995,5.17297874318793e-09,3.233555811695062e-08,4.0830065790542917e-07,1.525672712373665e-10,2.0028818353754354e-09,1.1387908343977111e-07,6.321126729053187e-09,4.397387226930301e-08,3.663122523350986e-07
3.0,1.9528878737395745e-09,0.890365720024415,0.10878014269137619,0.0008532046388382131,8.522603492479496e-09,7.91423139626133e-08,5.096954474806611e-07,4.957540299524969e-10,2.8013570097506378e-09,3.88112832915375e-08,9.572246383959976e-09,1.1323086150778518e-07,1.6842053116416567e-07
3.5,1.633962561516924e-08,0.926313231677582,0.07274022806798164,0.0009453841333885013,1.3778424929341578e-08,6.262541266906859e-07,2.548252997111626e-07,1.2047002116627582e-09,1.0861102244125872e-08,4.63314769091574e-10,1.3920784717530909e-08,2.0535742108681394e-08,1.9793784726156746e-07
4.0,7.055176109452601e-08,0.9549084342801959,0.00039764488817272406,0.044692415903166936,1.971729135180956e-08,8.533748526807434e-07,2.0675563996820267e-07,1.5638154512675896e-09,2.9632259887448704e-08,7.081937353991331e-10,1.8462630600470814e-08,5.323504456241509e-08,2.509268608045687e-07
4.5,2.3575407461315215e-07,0.977204997147581,0.0009559584124862037,0.021837191250577204,2.5713615411298216e-08,7.881948923367475e-07,1.3550827102991946e-07,1.4002058748195768e-09,9.290461792334834e-08,3.68643322745942e-11,2.4263781271642974e-08,3.435807497360769e-07,2.0583226300126228e-07
5.0,6.08931177622592e-07,0.9877320924721592,0.004420717478800705,0.00784477745695942,3.4179950762074943e-08,6.405657050876375e-07,3.750718980230005e-08,2.0890584938427605e-09,1.9456430351173525e-07,3.7152509658424255e-10,3.362977821187139e-08,7.707784469196675e-07,8.997513360333326e-08
