0.0,0.32302050172857144,0.6460410034571429,0.9690615051857143,1.2920820069142858,1.6151025086428572,1.9381230103714286,2.2611435121000003,2.5841640138285715,2.9071845155571427,3.2302050172857144,3.553225519014286,3.8762460207428573,4.1992665224714285,4.522287024200001,4.845307525928572,5.168328027657143,5.491348529385714,5.8143690311142855,6.137389532842858,6.460410034571429,6.7834305363,7.106451038028572,7.429471539757143,7.752492041485715,8.075512543214286,8.398533044942857,8.721553546671428,9.044574048400001,9.367594550128572,9.690615051857144,10.013635553585715,10.336656055314286,10.659676557042857,10.982697058771429,11.3057175605,11.628738062228571,11.951758563957144,12.274779065685715,12.597799567414286,12.920820069142858,13.243840570871429,13.5668610726,13.889881574328571,14.212902076057144,14.535922577785716,14.858943079514287,15.181963581242858,15.50498408297143,15.8280045847,time_fs
1.9185489707248683e-05,8.816971422388947e-05,0.00026745910171448677,0.0005556523698120367,0.0008022215748917357,0.0008090573233734383,0.0005656040995602698,0.00026382263138628276,7.746727273250053e-05,1.3611227519483934e-05,1.385847486469005e-06,8.03809817740944e-08,2.633727721500404e-09,4.855588216895097e-11,5.027546035147528e-13,2.9210106879750954e-15,9.519050958708438e-18,1.7396116323787704e-20,1.7826590230404997e-23,1.0242875712841264e-26,3.2999214814043776e-30,5.960857195374626e-34,6.037191295853695e-38,3.4283182298384844e-42,1.091557767407829e-46,1.9486392401502465e-51,1.9504514501466248e-56,1.0946058256060385e-61,3.444286264511701e-67,6.076585037540543e-73,6.010889806803094e-79,3.3337789077252513e-85,1.0367013446510078e-91,1.807546036012868e-98,1.7670299460128254e-105,9.685393925922575e-113,2.9765248003632468e-120,5.128856622349997e-128,4.955077463099627e-136,2.684102982454411e-144,8.152048178468545e-153,1.3882035074752426e-161,1.3254348142180104e-170,7.095490887930108e-180,2.1297339610206953e-189,3.584157638054467e-199,3.381953915745134e-209,1.7892338459659634e-219,5.307443273002837e-230,8.827189577287886e-241,0.0
2.0200923877708423e-05,9.156814535870504e-05,0.00026910332314947677,0.0005334822652988229,0.0007211794013589579,0.0006563477167460485,0.00039417493861746957,0.00015240345712393643,3.675104121835603e-05,5.344804425492781e-06,4.559489070697883e-07,2.2384147677608118e-08,6.251106787127365e-10,9.864888946520236e-12,8.765368441280227e-14,4.37664858773564e-16,1.2267408984768074e-18,1.929130767707468e-21,1.701527681002661e-24,8.4161960886529e-28,2.334291606334678e-31,3.630252804408078e-35,3.165558598203456e-39,1.5477105018651494e-43,4.242792633455738e-48,6.521310060067084e-53,5.62002058931016e-58,2.7155665658776337e-63,7.357024442572392e-69,1.1175397611812015e-74,9.517934654534673e-81,4.545078137282787e-87,1.2169111243792154e-93,1.8268177610704525e-100,1.5376250210957342e-107,7.256454770531529e-115,1.920071441487426e-122,2.8485846013288024e-130,2.3695162655510896e-138,1.1051191472554525e-146,2.889863633768263e-155,4.2370582343412935e-164,3.4831353663068116e-173,1.6054438083093628e-182,4.148954793629759e-192,6.01175305580245e-202,4.884075844066725e-212,2.224756594059245e-222,5.682002789035984e-233,8.136529794631829e-244,0.5
2.3595290657224936e-05,0.0001021022582648906,0.00027622597965435114,0.0004883316191166719,0.0005777907472256415,0.00045457257053443923,0.00023257535136681095,7.568020478949568e-05,1.5340027033471787e-05,1.8940985402498817e-06,1.392594479787395e-07,5.9771432234264255e-09,1.4755815367432944e-10,2.074380097262337e-12,1.6501851204379945e-14,7.40015780534238e-17,1.8665272239064024e-19,2.644481077667771e-22,2.1029390372101253e-25,9.382096850998968e-29,2.3477297304387155e-32,3.294626224175717e-36,2.5926040383684436e-40,1.1439740067824578e-44,2.8303044856343744e-49,3.926265576180488e-54,3.053875210198838e-59,1.3318196516006238e-64,3.2565710125808426e-70,4.464736142139546e-76,3.432026484462386e-82,1.4791926578024975e-88,3.574521817032619e-95,4.8431748963868394e-102,3.6792667918552376e-109,1.5671526419437527e-116,3.742658366822426e-124,5.011502237124205e-132,3.7624827610674244e-140,1.58379859068755e-148,3.738042425342287e-157,4.9466062178095014e-166,3.6701962739887684e-175,1.5268278685821483e-184,3.5613093821699005e-194,4.6574496249256225e-204,3.4151160446840717e-214,1.404046856226549e-224,3.2365071745248224e-235,4.183024260599716e-246,1.0
4.539857540421299e-05,0.00015688452086572055,0.0003671635599349472,0.0005811577062176583,0.0006102806318631797,0.0004121789561816678,0.000173782414038132,4.479229651375104e-05,6.970619194012163e-06,6.497526728515018e-07,3.602010832356919e-08,1.1780968293871223e-09,2.253059398988861e-11,2.49697332159678e-13,1.5906500319387323e-15,5.785359233924438e-18,1.1951163838966458e-20,1.3967876390049202e-23,9.210456247984409e-27,3.4198861131036655e-30,7.140551672509783e-34,8.375985098330495e-38,5.5162865320156666e-42,2.0388051855184506e-46,4.22760421079787e-51,4.917173033842624e-56,3.207599568158418e-61,1.1734057400073828e-66,2.4070909210093886e-72,2.768819010228663e-78,1.785837424250768e-84,6.45841670287512e-91,1.309607748619967e-97,1.4889617093541893e-104,9.491837349196199e-112,3.39265506874266e-119,6.799086447930548e-127,7.639800591385075e-135,4.813195715590234e-143,1.7002182507629615e-151,3.3674039623823976e-160,3.7394263007816084e-169,2.3282726250092887e-178,8.127962613527644e-188,1.5909206483630177e-197,1.7459598703247206e-207,1.0743329316206282e-217,3.706486251498321e-228,7.1697623531490895e-239,7.776174224779177e-250,1.5
6.583849018086572e-05,0.00019158276967459886,0.0003779923100282755,0.0005158251254521698,0.0004924574746213539,0.0003170421863930316,0.00012893089531981037,3.136258279033752e-05,4.4185606183966465e-06,3.5470961597693684e-07,1.609859455773368e-08,4.1153372531013423e-10,5.914813923507039e-12,4.775349843345032e-14,2.1646967571242707e-16,5.508180839717157e-19,7.866394872627447e-22,6.304634738764254e-25,2.835520453976199e-28,7.156036947963721e-32,1.0133535731785149e-35,8.051592640730213e-40,3.5893844474239065e-44,8.977626330708752e-49,1.259775549331809e-53,9.917502691124645e-59,4.3800290855415585e-64,1.0851899707463008e-69,1.5082655450590491e-75,1.1759336071245055e-81,5.142934123219934e-88,1.261690999298387e-94,1.7362015354494976e-101,1.3401210373439482e-108,5.801987508250205e-116,1.408935058412802e-123,1.9190201652601777e-131,1.4660062453180335e-139,6.281357828965753e-148,1.5094778446987924e-156,2.034463206973255e-165,1.5378625905337079e-174,6.519658124869396e-184,1.550125969720184e-193,2.0669957480539815e-203,1.5457469053793903e-213,6.48275219172401e-224,1.524750999568619e-234,2.011191136889052e-245,1.4877135332086644e-256,2.0
7.050564151580652e-05,0.00022967138524626388,0.0004819912799618892,0.0006769345418553569,0.0006394790312232273,0.0003921499131199428,0.00014858358166639478,3.3453763598534995e-05,4.370109388256522e-06,3.268622222196562e-07,1.3897206474734112e-08,3.3451212610683546e-10,4.5473498755225115e-12,3.4856766243630064e-14,1.5049824497562366e-16,3.6572285434150866e-19,4.999087335530629e-22,3.841878487318707e-25,1.6593811072303e-28,4.026824902201378e-32,5.488838449303163e-36,4.201498041670428e-40,1.8057320781158603e-44,4.356715651081106e-49,5.900150256752317e-54,4.48450308354918e-59,1.912799079524029e-64,4.5781536970747735e-70,6.148151099122622e-76,4.63236965262043e-82,1.9581291654353067e-88,4.6434087405810505e-95,6.176899827522458e-102,4.609195511177128e-109,1.929236314616294e-116,4.529371257955891e-124,5.964451586905241e-132,4.405268538651256e-140,1.824877782969815e-148,4.239805278514947e-157,5.524599543646781e-166,4.037301842800291e-175,1.654666824244673e-184,3.803231670306334e-194,4.902440583402164e-204,3.5439217679014374e-214,1.436691178321883e-224,3.26622322893382e-235,4.1641597019693953e-246,2.977173740525149e-257,2.5
0.00011225365917167688,0.00028782084451129037,0.0005542426733071083,0.0007867328450845545,0.000779911624291013,0.0005024105755257497,0.00019819750515922004,4.617980798835286e-05,6.234923958169494e-06,4.830527806882603e-07,2.1363187908080194e-08,5.376446957532772e-10,7.683810758536433e-12,6.226252112800731e-14,2.8568082753296964e-16,7.413875894294702e-19,1.0871066415609634e-21,8.99812892629484e-25,4.200592951154652e-28,1.1051116543565316e-31,1.6373117208224707e-35,1.3652492315619765e-39,6.403328075646263e-44,1.688500392016637e-48,2.502158271030132e-53,2.0829980652642664e-58,9.738424042472446e-64,2.5562288040504e-69,3.766388869357003e-75,3.1144645333822404e-81,1.4451265717815753e-87,3.7621423787746466e-94,5.4944395219811794e-101,4.501220718829301e-108,2.0683428741552756e-115,5.330552461391988e-123,7.704707963302095e-131,6.24532602456047e-139,2.8389187372541733e-147,7.236629875468539e-156,1.0344135423642711e-164,8.291196779690065e-174,3.7264709370731625e-183,9.391378361543022e-193,1.3271092781389562e-202,1.0515388856925687e-212,4.671771479667292e-223,1.1637839403012386e-233,1.625530303297817e-244,1.2730561954067503e-255,3.0
0.00010037587751476963,0.00028647956217895873,0.0005464102995572422,0.0007383139558577752,0.0007259315425500045,0.0005147256955200658,0.0002571499723565904,8.735617585736142e-05,1.916338956132444e-05,2.5744242837422113e-06,2.0361338519366157e-07,9.25914509252912e-09,2.390451364936175e-10,3.4814631343896492e-12,2.851370762059794e-14,1.3112696544478534e-16,3.3834091401089907e-19,4.896487697443043e-22,3.9738026146958677e-25,1.8083490502435854e-28,4.614179165476539e-32,6.601368876189067e-36,5.295373092072259e-40,2.381661386018136e-44,6.005972110171245e-49,8.49192087293593e-54,6.732054863862869e-59,2.9923218995263787e-64,7.45740742751582e-70,1.0420445740839651e-75,8.164010847884091e-82,3.5862428329787244e-88,8.832723869609307e-95,1.2197433311258007e-101,9.444111121741596e-109,4.0998933691123197e-116,9.979364178150003e-124,1.3619213197212699e-131,1.0421254496656053e-139,4.471022156074472e-148,1.0755051114892893e-156,1.4505642578823115e-165,1.0969335058564683e-174,4.6509585485383307e-184,1.1056647710334107e-193,1.473748283134856e-203,1.1013921803378906e-213,4.615082850922963e-224,1.0842660306815945e-234,1.4282723815206913e-245,3.5
8.32494249830452e-05,0.000272919609955109,0.0006304494373919902,0.0010435612216774376,0.0012222058875397518,0.0009670388617836075,0.0004947410825135025,0.00015898090917787564,3.138632647792483e-05,3.7265481529689265e-06,2.6079694858027543e-07,1.0580501705819421e-08,2.4583591380271154e-10,3.2448208461782196e-12,2.4205049575060497e-14,1.0172267650113354e-16,2.403791197304847e-19,3.1904035566943256e-22,2.3766586859009018e-25,9.933033847298615e-29,2.3285392877142527e-32,3.0613070116490086e-36,2.2569005638642115e-40,9.329880548287315e-45,2.1626341101248923e-49,2.810762605865855e-54,2.0483008853733895e-59,8.36928304196281e-65,1.9173678853926253e-70,2.4628838454839345e-76,1.7737924900554173e-82,7.162778656450258e-89,1.621734397697855e-95,2.058719486476267e-102,1.465324208878879e-109,5.847756527935974e-117,1.3084700539954607e-124,1.6415616645618123e-132,1.1547008842979477e-140,4.554080070859859e-149,1.007049184888787e-157,1.2485891358077051e-166,8.679750991857151e-176,3.3830921122541376e-185,7.393315153632578e-195,9.059066646573168e-205,6.223669592491319e-215,2.3973334198406108e-225,5.177608257511385e-236,6.269729062866969e-247,4.0
