S0,S1,S2,S3,T1,T2,T3,time_fs
2.561949399376673e-37,1.4326983054753617e-32,0.9999999999999779,5.838159051120695e-32,1.3630993551641076e-31,7.948712635773716e-32,2.6316750352122104e-30,0.0
7.002440411130267e-08,0.003777809926011246,0.9952188206532429,0.0010028307418253623,1.5881907955826898e-08,6.152667649231929e-08,3.9124593783910307e-07,0.5
6.200538704354429e-08,0.014872123460573598,0.9819526704958625,0.003173459745971684,7.363886359092834e-09,1.5799510545265122e-07,1.518933163657393e-06,1.0
3.870952979205476e-08,0.04509578335375873,0.9501002717320426,0.004800430796440464,6.16102391232123e-09,2.2736562968265324e-07,3.241881555149493e-06,1.5
8.404595611386376e-08,0.11099407548525314,0.8835126042364085,0.005487684912728551,1.1568980789813707e-08,3.2737920572119475e-07,5.212371535556249e-06,2.0
2.4869588012108374e-08,0.17415750001209485,0.8195493001240388,0.006285229524214222,1.1947278769269452e-08,8.862871516342092e-07,7.047235687636311e-06,2.5
7.74850821256426e-09,0.2838134153295488,0.7030688900658983,0.01310726858026805,1.5154992733282884e-08,1.4791293422424673e-06,8.923991417363748e-06,3.0
9.194243652468701e-09,0.37645399712823413,0.6091466019916842,0.01438664027571138,2.0072208132605965e-08,1.9284360547177433e-06,1.0802901872998438e-05,3.5
1.1461172594916258e-08,0.43400701925843704,0.5525700837025516,0.013408119006314813,2.65013854949227e-08,4.899602665875621e-06,9.840467512200737e-06,4.0
1.7967636039022913e-08,0.5299001748497565,0.4532254541048942,0.016857732436562276,3.405166992519629e-08,6.463611910617161e-06,1.0122977578789985e-05,4.5
4.7452909062829564e-08,0.5522878871579869,0.4343451316872702,0.013348918803597155,4.501942390419493e-08,7.785808033278943e-06,1.0184070754276804e-05,5.0
1.505810467095478e-07,0.581917173795711,0.40922515355038147,0.008838506260142272,5.8790033290218256e-08,8.540124791471146e-06,1.0416897900307837e-05,5.5
3.9455361064002626e-07,0.6103147551581861,0.37922561165870805,0.01043968214000997,7.151842754381971e-08,9.326918147009263e-06,1.015805290541954e-05,6.0
8.064928326697868e-07,0.6196840488500613,0.37569484895903044,0.004600946318064852,7.773337290280415e-08,9.79926758989174e-06,9.4723790165687e-06,6.5
1.5553516069173072e-06,0.676790358017551,0.32055642209445623,0.002632810099668127,8.485328216108453e-08,1.0346656183353554e-05,8.422927194082207e-06,7.0
2.724098385055546e-06,0.727122593093931,0.27136321597418067,0.0014934485023320992,1.0107744121080199e-07,1.1087882035716325e-05,6.8293716592186565e-06,7.5
4.653200180269157e-06,0.7829567281149594,0.21633609663084616,0.0006857459873555675,1.1795189518713275e-07,1.184400082145109e-05,4.814113950956149e-06,8.0
8.809302660553534e-06,0.7868767991462225,0.21273705238778745,0.00036157682116160265,1.3835094381085559e-07,1.2758358750459905e-05,2.8656325107977455e-06,8.5
1.7636780017419347e-05,0.7812114355812356,0.21855712916203368,0.00019846757143538474,1.6648884731528883e-07,1.3478855240676918e-05,1.6855611962307725e-06,9.0
0.00015612922023347617,0.7731917953338991,0.2263992903762091,0.00023748635628140924,2.2022863190884927e-07,1.3793677703869609e-05,1.284807044094386e-06,9.5
0.00013805951466964506,0.7663829025257813,0.23342302989400732,4.091236836793244e-05,3.038590544854939e-07,1.376748335841447e-05,1.024354709258825e-06,10.0
0.00039645472872336206,0.763443886795049,0.23604764803221207,9.748401658569346e-05,3.9197631296670516e-07,1.3538973909385048e-05,5.954771914578562e-07,10.5
0.0011179078817716492,0.7761709014664806,0.22259554537937756,0.00010152377585824502,5.135773034993671e-07,1.3175964718303159e-05,4.319544888569795e-07,11.0
0.026639991213657052,0.7685734728976633,0.20472646917375611,4.592713917881221e-05,6.757028627263337e-07,1.2869233345406913e-05,5.946395513165137e-07,11.5
0.10504827841150984,0.6983690486133614,0.1965397884233554,2.873728310967132e-05,9.675908892325804e-07,1.253003836813898e-05,6.49639406146451e-07,12.0
0.12301192400747753,0.6995345952650747,0.17740733539944756,3.187845925006896e-05,1.351726637453689e-06,1.2194249964531254e-05,7.208921211733667e-07,12.5
0.16057840269095883,0.6776895163596266,0.16166680000249364,5.090814567182934e-05,1.861075683105892e-06,1.1738738049061396e-05,7.729875114661013e-07,13.0
0.15883567926196349,0.6921739622810045,0.14893690299156445,3.9092488148687546e-05,2.5734511534387404e-06,1.104373868198655e-05,7.457874888040083e-07,13.5
0.14803440535498447,0.7133151546448797,0.1385775678764439,5.881931813111228e-05,3.199265088386675e-06,1.01864844381878e-05,6.670560418583486e-07,14.0
0.17834590446760162,0.6918979884476779,0.12963457042933846,0.00010806268793516559,3.522917788502678e-06,9.43835160600546e-06,5.126980530787252e-07,14.5
0.2112741689092015,0.6657361080054206,0.12284366753346844,0.00013275812458129365,4.086949314770142e-06,8.84231313461993e-06,3.6816490266075714e-07,15.0
0.24983045568977502,0.631777950476739,0.11823555139342805,0.00014305732443200135,4.535512743092149e-06,8.155083956690128e-06,2.94518970295256e-07,15.5
0.26762277812031166,0.6175761561090157,0.1146945825385285,9.297822920159663e-05,5.412359794674656e-06,7.782698897263973e-06,3.0994421778822814e-07,16.0
0.32550668931100457,0.5636741757487285,0.11056653998376333,0.00023895875581819392,5.913797264363453e-06,7.418923039375281e-06,3.034803515061557e-07,16.5
0.3371331301748681,0.5538813769271217,0.10875728002842476,0.0002145057610118933,6.208626310993471e-06,7.2007854115216455e-06,2.9769681624493717e-07,17.0
0.3489027914775711,0.6488709957725527,0.0021656842255854732,4.695577856535342e-05,6.6050387767947315e-06,6.706491320420234e-06,2.612156013139925e-07,17.5
0.36251409193865664,0.6349630592119379,0.0024971140414769156,1.122934198062372e-05,7.058379349997835e-06,7.221641222427974e-06,2.2544538277733045e-07,18.0
0.3929262105837375,0.6040693063610266,0.002934019381252029,5.3522639422870636e-05,7.411656095547409e-06,9.289136828580357e-06,2.402416544127895e-07,18.5
0.380684495480345,0.6165443959587842,0.002730288855517292,2.0725096016374328e-05,7.208828705937323e-06,1.2672980602864317e-05,2.1280004769801588e-07,19.0
0.36621282351834117,0.631820020549968,0.0019303720037577264,1.1202542223647057e-05,6.0699596338888305e-06,1.930037095520539e-05,2.1105506974580506e-07,19.5
0.3758399551387337,0.6232209826569756,0.0008765686800669183,3.242712204592319e-05,4.647439199898321e-06,2.5207299368024563e-05,2.1166361244523186e-07,20.0
0.3604400915166444,0.639327514540544,0.00018818010849077632,7.931787219781933e-06,4.624490464760304e-06,3.145660514396888e-05,2.009514648504983e-07,20.5
0.46499580859100004,0.5348786317301096,7.604670340103072e-05,6.563094684655775e-06,6.6419177233015004e-06,3.61307818268162e-05,1.771812406320618e-07,21.0
0.46398026601316406,0.5357203607807608,0.00024409727486328874,5.5064238349051515e-06,9.60724317804184e-06,3.9956503503343573e-05,2.0576071590221332e-07,21.5
0.46284423801548247,0.536683159760664,0.0004083471866012129,4.1370983891533085e-06,1.2429397461052925e-05,4.7530996555260304e-05,1.5754491561446722e-07,22.0
0.4605246279933383,0.5391972183719284,0.00020035579040171369,1.070000384664116e-05,1.3579261132924812e-05,5.3384241778233016e-05,1.34337566181993e-07,22.5
0.45737223904695185,0.5424188655816342,0.00013444823346283564,3.6751478372612427e-06,1.245900935280017e-05,5.81996926908396e-05,1.132880151362994e-07,23.0
0.4538242589237321,0.5460267333361982,7.237100683697234e-05,5.874855945223784e-06,1.0384351357716065e-05,6.027187541724857e-05,1.0565056525060067e-07,23.5
0.4500103425371988,0.5498574435218528,5.9352989795403445e-05,5.06260448288677e-06,9.261062026849013e-06,5.844267779242966e-05,9.460679230158142e-08,24.0
0.44650607611235393,0.5533159390265812,0.00010790737161584217,7.195282172728824e-06,9.933698774424955e-06,5.2855307253146206e-05,9.320125393414595e-08,24.5
0.44712147670709473,0.5527453024607912,6.875220961616651e-05,8.406966637938754e-06,1.1665644404523436e-05,4.429067013826455e-05,1.0534132124965161e-07,25.0
0.4471747443519185,0.5527286766956048,3.338598257835302e-05,1.224612124734677e-05,1.5806758249383604e-05,3.5008301466510244e-05,1.3178890010677808e-07,25.5
