time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,1.4909635766962055e-38,1.2080942183971585e-32,1.0,2.8412639080504105e-34,2.0670501251545006e-32,6.4696493025532695e-34,1.6268663527950138e-33,4.0448080934081254e-33,8.817673753756478e-32,8.116056584906801e-32,1.5453782861329045e-33,5.212123749808683e-34,1.2630028350013214e-31
0.5,9.378507336716e-08,0.0002036227095487963,0.9962155761531626,0.0035801819997948407,7.131841773007351e-11,4.029333698034843e-09,1.5567494497486957e-07,8.886267885246902e-11,7.77036920194386e-08,1.209252686301818e-07,7.26201363900236e-11,5.318189059047102e-09,1.6146810426538694e-07
1.0,1.16350922531913e-07,0.0010247484573501673,0.994221845503421,0.004751523072328416,1.4051577277132417e-10,3.5614399273987436e-09,6.237707941830486e-07,7.301174373477166e-11,1.462419086081516e-07,3.0421109597495006e-07,1.5350171841781323e-10,4.477129642668668e-09,6.839865346625766e-07
1.5,8.727496734134949e-08,0.007282585530815326,0.9899237192064486,0.0027903383556461595,3.432841890924202e-10,2.7304647610308956e-08,1.1896921487363057e-06,3.3031640081031496e-11,1.3843771456527636e-07,3.6094324296806433e-07,3.529729521409919e-10,7.57224792722671e-09,1.5449529406229165e-06
2.0,2.8063948291152788e-08,0.07832484724724031,0.91924031395594,0.002429740154635283,3.865899705449983e-10,1.2087272053246973e-07,1.6867330533893633e-06,5.780170646636983e-11,1.070556827568934e-07,2.649309921839196e-07,3.9806533994060313e-10,8.370533010365856e-08,2.8064380873425563e-06
2.5,1.3273605834890576e-08,0.4581018355853231,0.5366243799951413,0.005266649604534335,1.0914384908182679e-10,2.580498956300563e-07,1.8001417062843384e-06,1.766419339199638e-10,7.317196823681279e-08,1.2551435742576232e-07,1.2093666928854713e-10,3.008391790104403e-07,4.563417417046589e-06
3.0,9.68634258783276e-09,0.6064089666178467,0.3850319505917519,0.008549722375551254,1.6553787777853594e-10,3.420252184917236e-07,1.562223620894243e-06,6.367092292629283e-10,4.39306435706742e-08,3.648523875357966e-08,1.3394712842186217e-10,5.78918137241053e-07,6.786209419249054e-06
3.5,6.70150111948015e-09,0.5643718092089945,0.42702228402035713,0.008594776711687674,1.957587797615168e-09,3.927921030382024e-07,1.332466620028648e-06,1.5422478207141413e-09,3.509659740969531e-08,2.01989889234598e-08,1.7612868705829857e-09,7.610791271522047e-07,8.576462741636227e-06
4.0,2.5072697098819807e-09,0.48470547272298975,0.5095550771857827,0.005727637817949495,5.93631786458807e-09,4.87340173819978e-07,1.1476838370676942e-06,2.4381409167524707e-09,4.3382018396488774e-08,6.558543503753397e-08,5.515764797890583e-09,8.124527097257501e-07,9.239431579291665e-06
4.5,7.587415179344617e-10,0.40794254596676166,0.5884229585393943,0.003623526912167348,1.0680154931218629e-08,5.476417881208676e-07,1.1337803478255884e-06,2.7696137515342764e-09,5.582573232022736e-08,1.268952529711367e-07,1.017210125997041e-08,7.861440751272459e-07,8.293913984783992e-06
5.0,1.2696372617506224e-10,0.3746374511135585,0.6229049053996167,0.0024487655716501555,1.3752874758978928e-08,4.6712257841894525e-07,1.4051230156199992e-06,2.43621177816056e-09,6.440417974684515e-08,1.5637784257859694e-07,1.3279685314991164e-08,6.900393682937288e-07,6.065252475567266e-06
5.5,1.9014088679732575e-09,0.5368084867234376,0.4620465023948518,0.0011393518758300585,1.676167972362738e-08,3.8490552377876626e-07,1.3760160732781345e-06,1.5152753064697592e-09,6.79503911497588e-08,1.244535363503755e-07,1.637590958406376e-08,6.049030418680859e-07,3.064222927715418e-06
