#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  3.392243750414E-001  1.016545819569E+001  1.050468257073E+001  3.888732899625E-001  5.241891426908E+000  5.241891473191E+000  5.241891548091E+000  9.050405193450E+000  9.050405608629E+000  9.050405849878E+000  9.702590669286E+000  1.016545819569E+001  1.037665878460E+001  1.037665992211E+001  1.037666284831E+001  1.133678320187E+001  4.047618374378E-007  1.999999855362E+000  1.999999990528E+000  1.999999893588E+000  1.999999978760E+000  1.999999087571E+000  1.999999588876E+000  7.333822789029E-006  3.598558496734E-005  1.999999935257E+000  1.999992646110E+000  1.999964388300E+000  9.114778367119E-007  0.000000000000E+000  3.413676100040E-010  1.270141406190E-011  1.331760495166E-010  6.321109990728E-009  3.710667027399E-008  1.155737415017E-009  3.096781252586E-002  4.040154463776E-001  1.405565974790E-008  1.921501634158E-008  7.049485081538E-006  4.817139330674E-002
   5.000000000000E-001  4.647007219731E-001  1.003725708273E+001  1.050195780471E+001  3.749347248095E-001  5.121014933169E+000  5.121014957716E+000  5.121015019146E+000  9.000619719925E+000  9.000620168687E+000  9.000620415551E+000  9.608031940689E+000  1.003725708273E+001  1.013374640605E+001  1.013374808654E+001  1.013375510151E+001  1.109184679467E+001  4.132498381961E-007  1.999999890265E+000  1.999999980216E+000  1.999999862564E+000  1.999999992788E+000  1.999999092900E+000  1.999999324199E+000  1.142549664684E-005  1.786145262157E-004  1.999999966541E+000  1.999988937664E+000  1.999821474238E+000  1.025353253856E-006  0.000000000000E+000  2.804487860716E-010  3.568286159578E-011  1.707439240384E-010  4.782897324426E-009  4.024357129911E-008  7.470825848666E-009  6.492865576625E-002  3.616988171376E-001  8.757918421268E-009  1.515802123434E-007  3.105412368241E-005  5.303971108784E-002
   1.000000000000E+000  5.828924045301E-001  9.919065400175E+000  1.050195780470E+001  4.036953351445E-001  5.003806364699E+000  5.003806379115E+000  5.003806429832E+000  8.967570622015E+000  8.967571100560E+000  8.967571424911E+000  9.508632027596E+000  9.912328304806E+000  9.912459551116E+000  9.912461951702E+000  9.919065400175E+000  1.086027559910E+001  4.238792812400E-007  1.999999961981E+000  1.999999962043E+000  1.999999797014E+000  1.999999997267E+000  1.999999240812E+000  1.999998842253E+000  1.797301038685E-005  1.961109334841E+000  1.999999994691E+000  1.999983636184E+000  3.888966977778E-002  1.166247007156E-006  0.000000000000E+000  1.193018721720E-010  9.595743060885E-011  2.435098395932E-010  4.996068832861E-009  3.639731857130E-008  2.736354435714E-008  1.171622373751E-001  5.924917112695E-003  3.716448937810E-009  7.529054111462E-007  2.966462436358E-001  5.498026915106E-002
   1.500000000000E+000  6.509412039131E-001  9.853196769942E+000  1.050413797385E+001  4.929577673242E-001  4.922238567874E+000  4.922238581879E+000  4.922238635472E+000  8.968847166228E+000  8.968847693381E+000  8.968848208790E+000  9.423634153001E+000  9.745768008639E+000  9.745776915306E+000  9.745779990783E+000  9.853196769942E+000  1.067173464458E+001  4.375221226888E-007  1.999999993234E+000  1.999999987885E+000  1.999999721640E+000  1.999999884857E+000  1.999999309985E+000  1.999998381254E+000  2.606729382637E-005  1.999844024989E+000  1.999999986418E+000  1.999977320168E+000  1.535441366477E-004  1.340618711293E-006  0.000000000000E+000  3.685382012674E-011  6.641499422137E-011  3.128974547910E-010  2.370306709750E-008  3.779055742663E-008  4.944495163426E-008  1.778101096445E-001  2.266169210824E-005  3.388449249922E-009  2.052611846932E-006  2.377212836078E-001  5.312994608909E-002
   2.000000000000E+000  6.843163817919E-001  9.821161662428E+000  1.050547804422E+001  6.373726247206E-001  4.892907066276E+000  4.892907077601E+000  4.892907148648E+000  8.971588649400E+000  8.971589298987E+000  8.971589936519E+000  9.360709039209E+000  9.668890749045E+000  9.668897323281E+000  9.668900378256E+000  9.821161662428E+000  1.056066655762E+001  4.520631813902E-007  1.999999997632E+000  1.999999998051E+000  1.999999686501E+000  1.999999401393E+000  1.999999212429E+000  1.999998337128E+000  2.672132300261E-005  1.999922850276E+000  1.999999896866E+000  1.999977782538E+000  7.421476347807E-005  1.449036219822E-006  0.000000000000E+000  2.385004740508E-011  3.340329119155E-011  3.102576831653E-010  1.014966375159E-007  5.219277800866E-008  4.585691866132E-008  2.154677442848E-001  1.102591355486E-005  1.433421773484E-008  2.591712293742E-006  1.997377992630E-001  4.727063119331E-002
   2.500000000000E+000  6.976796860478E-001  9.808531286370E+000  1.050621097242E+001  8.292120822429E-001  4.918914903804E+000  4.918914912413E+000  4.918915004150E+000  8.975738653868E+000  8.975739469006E+000  8.975740044448E+000  9.336342802897E+000  9.677729661320E+000  9.677736872994E+000  9.677739404134E+000  9.808531286370E+000  1.053011879810E+001  4.669014479903E-007  1.999999997559E+000  1.999999997978E+000  1.999999665874E+000  1.999998607359E+000  1.999999089645E+000  1.999998582391E+000  2.095158040834E-005  1.999901982287E+000  1.999999751837E+000  1.999984068597E+000  9.539859616672E-005  1.439394878979E-006  0.000000000000E+000  2.261653898161E-011  1.708870561564E-011  2.797917774248E-010  2.281083140556E-007  6.749906587532E-008  2.581150420675E-008  2.328765422706E-001  1.265964768126E-005  3.413591026705E-008  2.067926215097E-006  1.832415428672E-001  4.044396234166E-002
   3.000000000000E+000  7.022331064788E-001  9.804854228077E+000  1.050708733456E+001  1.051882332816E+000  4.987223311838E+000  4.987223319050E+000  4.987223430299E+000  8.986040008131E+000  8.986040952641E+000  8.986041361792E+000  9.347488975309E+000  9.744061612085E+000  9.744075304686E+000  9.744077324904E+000  9.804854228077E+000  1.056149030172E+001  4.816896982876E-007  1.999999995937E+000  1.999999997655E+000  1.999999648278E+000  1.999998035101E+000  1.999999019398E+000  1.999998873626E+000  1.533124020639E-005  1.999577058896E+000  1.999999632070E+000  1.999989641309E+000  4.209476650415E-004  1.337134576463E-006  0.000000000000E+000  2.166671463950E-011  7.592787570369E-012  2.453132752003E-010  3.194032259686E-007  7.264660618941E-008  1.038371379881E-008  2.393437757357E-001  4.412419420855E-005  5.174135825202E-008  1.404502586602E-006  1.762045539932E-001  3.550056123321E-002
   3.500000000000E+000  7.102828937588E-001  9.796804440798E+000  1.050708733456E+001  1.280165846831E+000  5.072507955474E+000  5.072507962174E+000  5.072508091090E+000  8.996936148086E+000  8.996937157878E+000  8.996937421162E+000  9.375198426232E+000  9.796804440798E+000  9.831483052524E+000  9.831484736153E+000  9.831503980071E+000  1.062270528667E+001  4.961257432979E-007  1.999999994039E+000  1.999999997784E+000  1.999999632728E+000  1.999997860089E+000  1.999998943769E+000  1.999999179239E+000  1.151896585549E-005  1.252255083888E-003  1.999999574447E+000  1.999992979953E+000  1.998746363891E+000  1.203888023961E-006  0.000000000000E+000  1.883310568058E-011  3.325690924222E-012  2.114813971094E-010  3.484063071210E-007  6.914729267147E-008  2.100887492033E-009  2.412315820030E-001  1.715428631151E-001  6.065527004578E-008  9.510709967843E-007  9.755960565680E-005  3.314976180000E-002
   4.000000000000E+000  7.301075744778E-001  9.777147947171E+000  1.050725552165E+001  1.483528063150E+000  5.130426135358E+000  5.130426141448E+000  5.130426287961E+000  9.015626744377E+000  9.015627820410E+000  9.015628072743E+000  9.387545309070E+000  9.777147947171E+000  9.859091271614E+000  9.859092835715E+000  9.859099860591E+000  1.063291755296E+001  5.120314438714E-007  1.999999993498E+000  1.999999997977E+000  1.999999616546E+000  1.999997363753E+000  1.999998844707E+000  1.999999314765E+000  1.053452832338E-005  2.302674603622E-004  1.999999546976E+000  1.999994243468E+000  1.999768604635E+000  1.159653651082E-006  0.000000000000E+000  1.527436316977E-011  1.868452083334E-012  1.784474487498E-010  4.327960966425E-007  6.863641765615E-008  1.939569831238E-009  2.622159801450E-001  1.446824029821E-001  6.388723758667E-008  8.603403062654E-007  1.294175794200E-005  3.387731000749E-002
   4.500000000000E+000  7.683675259321E-001  9.738124712793E+000  1.050649223873E+001  1.659355306357E+000  5.173621498459E+000  5.173621504045E+000  5.173621666063E+000  9.015732041286E+000  9.015733150109E+000  9.015733422475E+000  9.385923354032E+000  9.738124712793E+000  9.874896764213E+000  9.874898248245E+000  9.874901765360E+000  1.063830123916E+001  5.266464876025E-007  1.999999993150E+000  1.999999997836E+000  1.999999603909E+000  1.999996975239E+000  1.999998786786E+000  1.999999437512E+000  9.633976856190E-006  8.619152512787E-005  1.999999560660E+000  1.999995184775E+000  1.999913000476E+000  1.107508909131E-006  0.000000000000E+000  1.438869756044E-011  1.367691647827E-012  1.488119433666E-010  5.008409526309E-007  6.279375543132E-008  4.124764189448E-009  2.832692887645E-001  1.171001974779E-001  6.055120235362E-008  7.727485456641E-007  3.206093602891E-006  3.557576238705E-002
