time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,2.3364398041686777e-38,3.2984289097602852e-34,1.0,6.864414582587853e-32,3.061085602304554e-32,4.613178710918979e-34,1.2241227976679566e-31,2.646762714775407e-32,7.224385624030017e-34,1.2854803262220516e-31,4.159628463127212e-32,3.599602384816263e-33,2.0551581661378377e-31
0.5,1.4890582476445033e-07,7.810158126558429e-05,0.9991823166999309,0.0007390299280337329,4.758238982411824e-10,1.461624246978151e-08,1.609073907504002e-07,4.9977559296459285e-12,1.3049317647552954e-08,4.185777697419684e-08,4.6431144309675197e-10,1.2550151588648169e-08,1.589589299738371e-07
1.0,1.1171611147042674e-07,0.0002456938311154905,0.9973249235839522,0.00242782981615644,4.590854886856066e-10,4.413465481462139e-08,5.880293427233297e-07,7.085668110114147e-11,3.0925970603884356e-08,1.7285493612151469e-07,4.212780435745043e-10,3.233381118006088e-08,5.718227811999919e-07
1.5,3.1699357452980306e-08,0.00041897209065407446,0.9960493635615766,0.003528824237286079,1.2342522682234391e-09,6.238145870680336e-08,1.1747302187841211e-06,2.0323655924185786e-10,3.4715226362645274e-08,3.5734696312484837e-07,1.2138050343888238e-09,4.413950447043154e-08,1.1324465173265228e-06
2.0,1.3078266625328477e-08,0.0006211191720845511,0.9962187347639729,0.0031558949283656606,2.639950204732682e-09,9.156584094568786e-08,1.7860911845728055e-06,2.0372277945880695e-10,3.576609905992216e-08,5.234117580465408e-07,2.613259626755812e-09,5.43053168930545e-08,1.7414600178355824e-06
2.5,1.6269179687873007e-08,0.001244767680737965,0.9968318241502034,0.0019178376318530219,3.804777925006654e-09,2.1659929209527789e-07,2.260341193221733e-06,1.2585251670479062e-10,5.7597476828158203e-08,6.132864411111114e-07,3.7985363450868665e-09,7.57910963591159e-08,2.3229232747158366e-06
3.0,1.608747962236118e-07,0.9976552958086403,0.0008370525554166363,0.001500756264981847,5.7926645107848155e-09,6.586278057332829e-07,2.3814537086801194e-06,1.2655942447973475e-09,1.396134549228182e-07,6.073419460125107e-07,5.759040487574926e-09,1.1233689765293926e-07,2.8223052383869384e-06
3.5,7.982199882633917e-08,0.9937309021502795,0.004211095233827927,0.0020499827921860287,8.336658612930839e-09,1.827839416604897e-06,1.806717743412662e-06,1.3125662565964703e-09,3.4609727519234644e-07,5.185164516007658e-07,8.222952432050049e-09,1.5092263316277848e-07,3.272035992339276e-06
4.0,2.0237081617546844e-08,0.9895140259415542,0.00896005813640685,0.0015164483621664501,1.2409381474357607e-08,3.6228215698569297e-06,8.227699818239797e-07,1.6213761921498267e-09,6.973553078674276e-07,3.8018552447897207e-07,1.2077973421449097e-08,1.749086346472346e-07,3.7231731920094024e-06
4.5,1.357675319548078e-08,0.9872908301228938,0.01246494025216096,0.00023324085828964564,1.8483731825421734e-08,4.869969120910789e-06,6.47484539903035e-07,1.2683311617883195e-09,8.923828301532328e-07,2.667339305116717e-07,1.8187966000009433e-08,2.554678513041803e-07,4.005211794222032e-06
