time_fs,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13
0.0,5.707290081379308e-16,1.8551951222991991e-09,3.7389745989784166e-12,9.152469601950516e-10,6.216827495900214e-10,1.2678330711701774e-08,8.539672523974366e-09,2.8248402259648525e-15,0.9999982085582023,2.6260521211343194e-10,2.0170535977747154e-08,1.7463947594639213e-06,1.848449459405774e-15
0.5,5.679212315148185e-08,7.633741828399348e-11,4.177464766783008e-12,6.170725818224387e-10,4.434715240975735e-10,6.870340612267542e-09,6.478326176916644e-09,4.01589060161636e-05,0.9999365518625494,7.187794172799125e-09,4.079074610359469e-09,1.064016058628935e-06,2.2142666644225434e-05
1.0,6.960327896435069e-07,3.0448602028081264e-12,3.891699635923027e-14,9.319185337052375e-11,6.775735447594368e-10,9.312988944287004e-09,2.7807019773125887e-10,9.926725324433637e-05,0.9995326940752657,1.7105067318481915e-08,7.900993722269968e-08,7.499973324909205e-07,0.0003664861614488052
1.5,4.64132817937586e-08,4.3998157686849605e-13,5.1327606473360766e-14,1.6805161481832403e-11,1.0062044449064847e-09,4.634953069223073e-09,1.0565571070427276e-09,0.0001883953859309435,0.9995600954244583,1.2302079682039079e-08,2.66120432805331e-07,6.204674961066777e-07,0.0002505571712798154
2.0,3.081758429958517e-09,3.6615559426618767e-13,4.925705623220741e-15,7.409319543418473e-12,6.698421477771831e-09,1.576455170669266e-08,2.880937395106362e-09,0.00190946871296212,0.9967681029872426,7.356970432753934e-08,2.3069804241758426e-07,5.175078142277778e-07,0.0013215780908544775
2.5,5.815372985063199e-10,8.541541787686156e-13,1.3526944311022113e-14,3.098840762924325e-12,3.795591859064022e-08,2.388754397906271e-08,1.3246649227316604e-09,0.008383192114265752,0.9888472391945244,1.5874706200517833e-07,9.022113697950526e-08,3.615222824601708e-07,0.0027688944470947293
3.0,6.305446519339718e-10,2.299877754836384e-12,4.3096011474552523e-14,3.198637581838709e-14,2.1061026223485053e-07,2.458119338002891e-09,5.473170580448708e-10,0.04617916270096728,0.9502657138808775,2.2215274030084427e-07,2.5606341014726934e-07,8.965241874714743e-08,0.0035543413009045165
3.5,2.375764510159737e-10,1.621159370689e-12,5.53971696844614e-15,2.6330760167058964e-12,3.7163478572230375e-06,7.230562259363732e-09,6.64754478056778e-08,0.2639086212282553,0.7315717889233699,7.200732667748475e-07,5.514078854312684e-07,3.746913707441183e-06,0.004510781157770217
4.0,5.3388622873840654e-08,7.931932710637699e-11,2.409453165688179e-12,1.5911379452646e-12,0.3995909253577649,1.280233773976338e-07,6.432165908907135e-07,0.00010660237924559239,0.13026340405538994,2.5063543213067225e-06,1.8215449631654805e-07,0.44643136290341445,0.023604192083483647
4.5,4.7101019280513695e-09,1.3133329420993802e-12,1.7332741865001267e-11,4.446639162333899e-12,0.3643293306479601,1.9634598759823267e-07,1.5755897067927453e-05,0.00011124280420918376,0.0008928785929857569,2.0191204518094976e-07,1.0566665106923906e-05,0.5934689457479557,0.04117087665344942
