time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
0.0,4.5871637078956596e-39,6.147081502439693e-32,1.0,5.044195759657137e-32,8.132899504802633e-34,1.2934415849779097e-32,2.3287658803388943e-32,2.9784668887652844e-33,2.3855692256209203e-32,2.023581046577867e-32,1.9684322178067294e-33,6.227892344830861e-34,4.689552275282572e-32
0.5,5.687089016194487e-08,4.015940950671598e-05,0.9999372808455779,2.2143829263037048e-05,2.906768128537681e-09,1.1235248832748177e-08,1.5193066773707597e-07,1.8878869913294825e-10,2.2171021307005104e-08,7.1511928367338586e-09,2.969003958268963e-09,1.0059010019504764e-08,1.504329779809429e-07
1.0,6.956282005084747e-07,9.926699720173596e-05,0.9995324872514085,0.0003664817796636279,1.2768624149778338e-09,1.739804820327657e-08,4.923048098267647e-07,7.525924414066511e-10,3.511776174852381e-08,4.950963385640549e-10,1.219390527075038e-09,9.309040052608257e-09,5.104699691296225e-07
1.5,4.646598308209382e-08,0.00018839698361513375,0.9995591801628596,0.0002505574050317707,1.167741482156527e-09,1.0852817775888444e-08,8.620864877942558e-07,5.070852890377571e-10,2.4980996107365373e-08,5.2549883440261445e-08,1.1734275392634603e-09,7.394480907683844e-10,8.64924544573112e-07
2.0,3.113517500937151e-09,0.0019094773642385414,0.9967663321869294,0.0013215856049117187,2.0077495338224136e-09,1.2753061612479745e-08,1.1706225157471888e-06,7.759448836385441e-10,5.071564982836212e-08,2.6754041747144377e-07,2.084581300027574e-09,2.9521373671150142e-09,1.0922782699572541e-06
2.5,5.670913754877754e-10,0.008383227088093885,0.9888445553858408,0.002768908023205604,3.279542195697808e-09,4.126036691638163e-08,1.3251751855268356e-06,2.0392682188248064e-09,1.2693630561088457e-07,5.605358846589445e-07,3.542571113696166e-09,1.3269376271703462e-08,1.2328971233326819e-06
3.0,6.194514442801456e-10,0.046179545386611794,0.9502622053982024,0.00355435782162824,6.228734035795531e-09,1.0871833880672395e-07,1.3176610340423362e-06,4.324401425991829e-09,2.2882324290238995e-07,7.955989990060685e-07,6.919958232993275e-09,3.4371973049493604e-08,1.3881273981548403e-06
3.5,2.390796544761672e-10,0.2639147580546446,0.731569503795392,0.004510823255542838,1.0925524655231958e-08,2.850331047492881e-07,1.359127529980585e-06,7.864205290038952e-09,3.6131693716373286e-07,9.570431775206529e-07,1.2571800962174992e-08,7.686722625193601e-08,1.8439058794408877e-06
4.0,5.379344196003645e-08,0.39967500044170595,0.5752293267815238,0.02360618516125166,1.4212289952263592e-08,9.357329058928745e-07,0.0007281726990505853,3.841715752802764e-08,4.7506508697978116e-07,8.846063944550344e-07,2.0185755963887228e-08,2.0236609364194805e-07,0.0007586905374268649
4.5,4.815906875342046e-09,0.3643170071913736,0.5931235106580105,0.04117458785878494,1.6323563741571592e-08,7.972267893027849e-05,0.0005956387096329457,6.671723805135386e-08,1.226910356661713e-06,1.5567472347421078e-07,2.514391635620053e-08,9.263168365190106e-05,0.0006154056338446035
5.0,3.592694817806327e-09,0.26278171953103846,0.46042682181290556,0.275713592213822,6.157524346769414e-09,0.0003035638658755134,0.00022241502681087785,1.1043131732268892e-07,9.555454578236902e-07,3.6921227892461827e-07,1.8296549718008243e-08,0.0003272964300321989,0.00022312788379971957
5.5,1.9619956763379436e-08,0.17369653564201393,0.06952265004453453,0.7559868649290701,9.673680365501164e-10,0.00026407165340542964,0.00012484247685310746,1.3000494152854658e-07,3.9775514793403076e-07,7.848991471375107e-07,1.1060995952673891e-08,0.00027813770104636167,0.0001255532454661987
6.0,3.264748501666574e-08,0.10864105344199212,0.029740222458945222,0.8610649819178335,1.1740589673050798e-09,0.00017473909163979274,9.660058147389356e-05,1.274150815785557e-07,1.0409494350847803e-07,8.818735767736943e-07,3.97750063437936e-09,0.00018097637731820723,0.0001002749480906289
6.5,3.72113217361381e-08,0.06714409391371709,0.049946997770002007,0.882510225737607,8.500038898907173e-09,0.00010692539930744256,8.660122186914111e-05,1.1133873964414838e-07,7.343400887357166e-09,7.785956914710763e-07,4.578917430554729e-09,0.00011191445438868519,9.229393493970137e-05
7.0,5.902835655325442e-08,0.04781896159863596,0.06464262936969674,0.8872149917542134,1.5106891275928728e-08,7.648237179695618e-05,7.875633949601339e-05,1.0169761877843128e-07,3.5470663399455753e-09,5.910120277345689e-07,1.0622689071900895e-08,8.271120662314431e-05,8.46863448172824e-05
7.5,1.438039149478494e-07,0.04195723330062183,0.06753955368390814,0.8902192748579933,1.3628445249632768e-08,6.703187420506983e-05,6.978174076156223e-05,1.0931391861520051e-07,1.0437823953343232e-08,3.922795075869642e-07,1.2132603612884865e-08,7.159647024012552e-05,7.484647607180877e-05
8.0,2.38990108439869e-07,0.035239984129711424,0.06084775672608432,0.9036713962763759,8.117652717684053e-09,5.5834519883082264e-05,6.215823920092804e-05,1.226309604045873e-07,1.4780201629708857e-08,2.255744759115872e-07,6.5992935130832016e-09,5.589463783247026e-05,6.635877829053662e-05
