#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  2.506278529606E-001  1.106137640591E+001  1.131200425887E+001  2.894843310262E-001  5.929010034751E+000  5.929010097906E+000  5.929010144980E+000  8.950746490435E+000  8.950746768122E+000  8.950747063890E+000  9.629037149607E+000  1.101549588188E+001  1.101551511243E+001  1.101551541278E+001  1.106137640591E+001  1.194102329686E+001  3.682278955678E-007  1.999999814162E+000  1.999999999376E+000  1.999999935683E+000  1.999999995436E+000  1.999999592748E+000  1.999999807589E+000  1.755960573113E-006  1.999144125354E+000  1.999999911689E+000  1.999998239684E+000  8.558082688856E-004  6.458227675804E-007  0.000000000000E+000  3.635358102226E-010  1.210324814564E-013  2.557980282682E-010  3.463436476593E-009  6.693996342862E-010  1.677509094163E-009  3.481418112903E-003  2.130332781556E-004  1.746722629329E-008  2.593230416349E-009  4.999841543025E-001  7.159404677686E-003
   5.000000000000E-001  2.632207394009E-001  1.104886826564E+001  1.131208900505E+001  3.192104092931E-001  5.938174348595E+000  5.938174403187E+000  5.938174444138E+000  9.065192603217E+000  9.065192901628E+000  9.065193172326E+000  9.753996952170E+000  1.103127009627E+001  1.103132085928E+001  1.103132121188E+001  1.104886826564E+001  1.196052152426E+001  3.656673467660E-007  1.999999818155E+000  1.999999999566E+000  1.999999935561E+000  1.999999995852E+000  1.999999566668E+000  1.999999810287E+000  2.040689019879E-006  1.994183617427E+000  1.999999918280E+000  1.999997959164E+000  5.816304372834E-003  6.683121270685E-007  0.000000000000E+000  3.631329396481E-010  1.557623539083E-013  2.432327696291E-010  3.634925279841E-009  7.438824048456E-010  1.641518006628E-009  2.742321736017E-003  1.451662550472E-003  1.647471476572E-008  2.208633318996E-009  4.986654440579E-001  6.991601268839E-003
   1.000000000000E+000  3.713517871192E-001  1.094073721793E+001  1.131208900505E+001  3.483580607258E-001  5.868950085962E+000  5.868950124946E+000  5.868950158473E+000  9.180741494363E+000  9.180741834926E+000  9.180742056421E+000  9.877651920750E+000  1.094073721793E+001  1.097182413798E+001  1.097182460599E+001  1.097185304243E+001  1.190161167520E+001  3.658424259527E-007  1.999999829500E+000  1.999999999687E+000  1.999999929539E+000  1.999999996183E+000  1.999999511348E+000  1.999999810550E+000  2.724463460835E-006  1.829378799701E-003  1.999999936539E+000  1.999997279160E+000  1.998170518632E+000  7.197561176102E-007  0.000000000000E+000  3.488029123717E-010  2.765581023042E-013  2.322069800588E-010  3.890281003479E-009  9.129223480032E-010  1.604809849017E-009  1.626253320901E-003  4.971762258172E-001  1.363656487933E-008  1.687547504336E-009  4.568803156706E-004  6.839554026568E-003
   1.500000000000E+000  5.661407937369E-001  1.074407537554E+001  1.131021616927E+001  3.703298645937E-001  5.721371559631E+000  5.721371579909E+000  5.721371606804E+000  9.283293155994E+000  9.283293585375E+000  9.283293708031E+000  9.982440973908E+000  1.074407537554E+001  1.081143633919E+001  1.081143708815E+001  1.081144960197E+001  1.173742703661E+001  3.701924605935E-007  1.999999853054E+000  1.999999999783E+000  1.999999907468E+000  1.999999996681E+000  1.999999408708E+000  1.999999801743E+000  4.632116651897E-006  3.795966465580E-004  1.999999957952E+000  1.999995374918E+000  1.999620274654E+000  8.260835205372E-007  0.000000000000E+000  2.964251659460E-010  3.724477052388E-013  2.494602654066E-010  4.227277835276E-009  1.189945912597E-009  1.997019653715E-009  4.599692935687E-004  4.929067137340E-001  1.018778899355E-008  1.223980857789E-009  9.444128467808E-005  6.587081565417E-003
   2.000000000000E+000  8.211183396615E-001  1.048414829296E+001  1.130526663262E+001  3.923768509567E-001  5.512885046358E+000  5.512885051250E+000  5.512885077092E+000  9.364565015447E+000  9.364565543442E+000  9.364565622141E+000  1.005507895963E+001  1.048414829296E+001  1.058510440737E+001  1.058510591234E+001  1.058511311705E+001  1.149954827645E+001  3.783478449462E-007  1.999999918829E+000  1.999999999929E+000  1.999999837658E+000  1.999999997414E+000  1.999999726344E+000  1.999999290714E+000  1.099540956049E-005  1.630225861637E-004  1.999999977308E+000  1.999988968659E+000  1.999836880442E+000  1.006360399744E-006  0.000000000000E+000  1.476503455471E-010  2.020340795593E-013  3.343197125739E-010  4.462054602514E-009  3.303625720305E-009  2.109025756429E-009  3.966914299147E-003  4.820960301790E-001  6.875359732492E-009  3.300557649034E-009  3.986591799016E-005  6.003062951291E-003
   2.500000000000E+000  1.026693678932E+000  1.025140066219E+001  1.127809434113E+001  4.491559915365E-001  5.291235255320E+000  5.291235256024E+000  5.291235292196E+000  9.447742264277E+000  9.447742774224E+000  9.447743209553E+000  1.008080839770E+001  1.025140066219E+001  1.033663270279E+001  1.033663668725E+001  1.033664369374E+001  1.123189353538E+001  3.907330201247E-007  1.999999998777E+000  1.999999987293E+000  1.999999760002E+000  1.999999998242E+000  1.999999708124E+000  1.999998947088E+000  4.070541455957E-005  2.619665741677E-004  1.999999990760E+000  1.999962346494E+000  1.999734885193E+000  1.315305292154E-006  0.000000000000E+000  2.145235706302E-012  2.745834112611E-011  3.667179077511E-010  4.396662024118E-009  1.107844965043E-008  2.462947629696E-009  1.417772546183E-001  3.357666426830E-001  4.268987042360E-009  3.183984805035E-006  3.832689561147E-005  5.216255306564E-003
   3.000000000000E+000  1.366406272894E+000  9.911688068233E+000  1.127809434113E+001  5.452918987303E-001  5.098349062332E+000  5.098349062574E+000  5.098349115667E+000  9.505106472145E+000  9.505106952981E+000  9.505108055985E+000  9.911688068233E+000  1.010837306924E+001  1.010838747074E+001  1.010839196453E+001  1.021483383347E+001  1.098105137893E+001  4.059776762049E-007  1.999999998958E+000  1.999999998843E+000  1.999999733956E+000  1.999999990161E+000  1.999999501206E+000  1.999998501951E+000  4.569484402903E-005  1.999768666945E+000  1.999999997695E+000  1.999956821810E+000  2.289292958768E-004  1.758357855107E-006  0.000000000000E+000  3.748868320287E-012  9.554264211841E-012  3.007127521095E-010  5.270406104021E-009  4.087294447350E-008  4.935696458003E-009  4.091281124117E-001  1.095638490100E-005  2.591341593211E-009  9.303992337261E-006  5.969547526772E-002  4.662242246777E-003
   3.500000000000E+000  1.579756154714E+000  9.696494722709E+000  1.127625087742E+001  7.093490321175E-001  4.933250330697E+000  4.933250331919E+000  4.933250405701E+000  9.591082863887E+000  9.591083238200E+000  9.591086993257E+000  9.696494722709E+000  9.872802201907E+000  9.872810608875E+000  9.872815160508E+000  1.027594494062E+001  1.071935396343E+001  4.280029487340E-007  1.999999998865E+000  1.999999999859E+000  1.999999710881E+000  1.999998661647E+000  1.999996239460E+000  1.999996687504E+000  5.515855341903E-005  1.999982305095E+000  1.999999999541E+000  1.999952274368E+000  1.581174893337E-005  2.724475269765E-006  0.000000000000E+000  1.164792432987E-011  4.474678279484E-013  2.264991579416E-010  2.622543347726E-007  6.518030931914E-007  1.607377804082E-007  4.337534459415E-001  1.144618392718E-006  1.662250943762E-009  1.056375331113E-005  2.470369082846E-002  4.487224548877E-003
   4.000000000000E+000  1.772995738677E+000  9.503255138746E+000  1.127625087742E+001  9.146092981893E-001  4.797820027892E+000  4.797820030431E+000  4.797820124991E+000  9.503255138746E+000  9.656589279038E+000  9.656593458873E+000  9.656627153806E+000  9.694270500325E+000  9.694311491096E+000  9.694312461283E+000  1.035447762315E+001  1.048345812594E+001  4.540569872521E-007  1.999999998353E+000  1.999999999853E+000  1.999999686166E+000  6.058589576316E-005  1.999999774387E+000  1.999950183831E+000  1.999987925754E+000  1.999995296857E+000  1.999999635926E+000  1.999996416559E+000  5.062643174196E-006  4.979718691014E-006  0.000000000000E+000  1.361127248147E-011  2.811783181993E-013  1.607204044220E-010  4.287797197162E-001  3.443355814494E-008  1.068437616766E-005  2.113616533347E-006  1.425584226294E-008  5.370505230440E-008  8.415562788313E-007  1.834932736222E-002  4.550406975226E-003
   4.500000000000E+000  1.916627791070E+000  9.360555272658E+000  1.127718306373E+001  1.173421233006E+000  4.712230665776E+000  4.712230669658E+000  4.712230784974E+000  9.360555272658E+000  9.491496390518E+000  9.491498932795E+000  9.491502118348E+000  9.834215657923E+000  9.834222680153E+000  9.834223248058E+000  1.028979959261E+001  1.048041679800E+001  4.840565368416E-007  1.999999997780E+000  1.999999999862E+000  1.999999658816E+000  7.650212078083E-005  1.999999954689E+000  1.999994277813E+000  1.999926796342E+000  1.999986815746E+000  1.999999986074E+000  1.999999739674E+000  1.336635651282E-005  2.420669614398E-006  0.000000000000E+000  1.609756212308E-011  1.944786419033E-013  1.064976886183E-010  4.177622384514E-001  6.784312944042E-009  6.006628280180E-007  1.576779476485E-005  1.365048325039E-007  9.143673450634E-009  6.305837402090E-008  8.698040071765E-003  1.333688276201E-002
