#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  4.080549404047E-001  1.018575594905E+001  1.059381088945E+001  5.242974887684E-001  5.221486797451E+000  5.221486820824E+000  5.221486871266E+000  8.403714375587E+000  8.403714510220E+000  8.403714911728E+000  8.762187904458E+000  1.018575594905E+001  1.075034459669E+001  1.075034471547E+001  1.075034623666E+001  1.163218254988E+001  3.845189468620E-007  1.999999907094E+000  1.999999993148E+000  1.999999848442E+000  1.999999996937E+000  1.999999720489E+000  1.999999826038E+000  7.926313487603E-007  4.222618449539E-006  1.999999942173E+000  1.999999269307E+000  1.999995620786E+000  4.758168476143E-007  0.000000000000E+000  6.548322699644E-010  1.161013370834E-010  3.777386037227E-010  3.752913262283E-009  3.549553881974E-009  2.344946285256E-009  4.206009726950E-002  4.105408480386E-001  1.077400408669E-008  6.693027957008E-010  9.937277761743E-007  9.783667146927E-003
   5.000000000000E-001  4.459843181951E-001  1.014945258175E+001  1.059543689994E+001  5.732207372871E-001  5.257658136860E+000  5.257658157539E+000  5.257658198723E+000  8.411026769018E+000  8.411026910243E+000  8.411027305898E+000  8.826175762563E+000  1.014945258175E+001  1.067985562316E+001  1.067985576039E+001  1.067985736392E+001  1.156872172828E+001  3.865407851403E-007  1.999999909959E+000  1.999999994580E+000  1.999999845103E+000  1.999999998584E+000  1.999999720856E+000  1.999999840702E+000  8.410466804278E-007  4.826136861927E-006  1.999999955756E+000  1.999999185272E+000  1.999995010441E+000  4.850224490239E-007  0.000000000000E+000  5.403655658940E-010  9.909633977683E-011  3.562617653323E-010  4.130990714005E-009  3.094254935308E-009  3.385438842243E-009  3.743756066642E-002  4.159980789977E-001  1.009284661913E-008  4.823141405901E-010  1.151158038152E-006  1.141536880789E-002
   1.000000000000E+000  5.181919825100E-001  1.007840362026E+001  1.059659560277E+001  6.335829768240E-001  5.250386293147E+000  5.250386310288E+000  5.250386348757E+000  8.448354040180E+000  8.448354196990E+000  8.448354577473E+000  8.906065098154E+000  1.007840362026E+001  1.057644280373E+001  1.057644297070E+001  1.057644463035E+001  1.146397380550E+001  3.914788438722E-007  1.999999922016E+000  1.999999996871E+000  1.999999828031E+000  1.999999997886E+000  1.999999701502E+000  1.999999846231E+000  9.790152582266E-007  5.482133190369E-006  1.999999963699E+000  1.999999016614E+000  1.999994363359E+000  5.111638412443E-007  0.000000000000E+000  4.343639782860E-010  6.714825372551E-011  3.070043780363E-010  4.459659602181E-009  3.081265052793E-009  4.070129709417E-009  3.632330610926E-002  4.163782283140E-001  9.734492076659E-009  4.427764177505E-010  1.302282945267E-006  1.253265097690E-002
   1.500000000000E+000  6.412988326199E-001  9.955121709581E+000  1.059642054220E+001  6.848595079904E-001  5.180521050204E+000  5.180521063439E+000  5.180521106492E+000  8.501054551533E+000  8.501054737211E+000  8.501055089176E+000  8.987630143236E+000  9.955121709581E+000  1.042651456109E+001  1.042651478166E+001  1.042651644591E+001  1.130412150455E+001  3.995269237263E-007  1.999999944600E+000  1.999999998725E+000  1.999999797190E+000  1.999999995817E+000  1.999999658562E+000  1.999999847979E+000  1.260780023930E-006  6.095410088772E-006  1.999999967871E+000  1.999998686891E+000  1.999993788051E+000  5.585977149946E-007  0.000000000000E+000  3.168212461471E-010  3.257960541895E-011  2.587052702291E-010  4.677447145096E-009  3.498808531875E-009  4.263070163835E-009  3.968727080844E-002  4.107380082575E-001  9.432018444174E-009  6.493603145766E-010  1.416287639758E-006  1.306746331579E-002
   2.000000000000E+000  8.117664377604E-001  9.782777487793E+000  1.059454392555E+001  7.231754850776E-001  5.049707391128E+000  5.049707401575E+000  5.049707456714E+000  8.567455192030E+000  8.567455429157E+000  8.567455731127E+000  9.069438683841E+000  9.782777487793E+000  1.023125690128E+001  1.023125722995E+001  1.023125881342E+001  1.109205398330E+001  4.106816224671E-007  1.999999966732E+000  1.999999999580E+000  1.999999764307E+000  1.999999991390E+000  1.999999578149E+000  1.999999846684E+000  1.852558504252E-006  6.698907012705E-006  1.999999968659E+000  1.999997980253E+000  1.999993305349E+000  6.367490139910E-007  0.000000000000E+000  1.955569964505E-010  1.002030961184E-011  2.134323436698E-010  5.026557205685E-009  4.788467089656E-009  3.809694769997E-009  5.172467522813E-002  3.949587733425E-001  9.189655359785E-009  1.009855227816E-009  1.480177413913E-006  1.311830173296E-002
   2.500000000000E+000  9.981088908396E-001  9.591757538796E+000  1.058986642964E+001  7.639649301905E-001  4.882638716525E+000  4.882638725512E+000  4.882638798379E+000  8.660266404640E+000  8.660266738225E+000  8.660266950732E+000  9.160078021367E+000  9.591757538796E+000  1.001104718592E+001  1.001104777206E+001  1.001104910769E+001  1.085077439968E+001  4.248089388051E-007  1.999999980427E+000  1.999999999842E+000  1.999999737349E+000  1.999999977230E+000  1.999999424137E+000  1.999999838738E+000  3.256130955094E-006  7.822467128001E-006  1.999999964538E+000  1.999996132639E+000  1.999992676259E+000  7.654341615412E-007  0.000000000000E+000  9.823998571757E-011  2.056091298815E-012  1.606674935307E-010  7.123875497855E-009  8.780093211836E-009  2.538378308833E-009  9.340405616445E-002  3.482243875383E-001  9.396753566924E-009  6.222031708209E-010  1.507081955034E-006  1.284734056058E-002
   3.000000000000E+000  1.361379238454E+000  9.228487191184E+000  1.058986642964E+001  8.319421015578E-001  4.718443683457E+000  4.718443691663E+000  4.718443784488E+000  8.791983815221E+000  8.791984345651E+000  8.791984393989E+000  9.228487191184E+000  9.466861146498E+000  9.801844922689E+000  9.801846253797E+000  9.801846978378E+000  1.061816509326E+001  4.415302439399E-007  1.999999987413E+000  1.999999999910E+000  1.999999714938E+000  1.999999889980E+000  1.999999094981E+000  1.999999795348E+000  5.790849814686E-006  1.549451782621E-005  1.999999948583E+000  1.999991472808E+000  1.999987387191E+000  9.819510825897E-007  0.000000000000E+000  3.763605394595E-011  3.385485573543E-013  1.074474775899E-010  2.466760426143E-008  2.472952319792E-008  2.011912008567E-009  2.865292481615E-001  1.491292760165E-001  1.135388379279E-008  1.498520067986E-007  1.362690027400E-006  1.229954177422E-002
   3.500000000000E+000  1.412388121525E+000  9.155696292151E+000  1.056808441368E+001  9.586264170022E-001  4.587981628468E+000  4.587981636126E+000  4.587981748988E+000  8.965640830842E+000  8.965641580631E+000  8.965641939050E+000  9.155696292151E+000  9.563274046790E+000  9.637699207985E+000  9.637700867897E+000  9.637711693397E+000  1.042439611083E+001  4.616055007239E-007  1.999999990802E+000  1.999999999921E+000  1.999999693882E+000  1.999997650361E+000  1.999999001163E+000  1.999998264053E+000  9.065896658075E-006  3.815959506957E-004  1.999999889692E+000  1.999994626697E+000  1.999618392118E+000  1.367857216745E-006  0.000000000000E+000  9.819492688842E-012  6.619162139512E-014  6.295565981162E-011  4.869590715471E-007  1.000022698501E-007  1.138061966494E-007  4.251559793380E-001  3.890095423406E-003  1.996943852307E-008  1.125215266631E-006  6.515232784221E-007  1.105942860708E-002
   4.000000000000E+000  1.520767683830E+000  9.047316729849E+000  1.056808441368E+001  1.144896642645E+000  4.495222408383E+000  4.495222415588E+000  4.495222548402E+000  9.047316729849E+000  9.173679543658E+000  9.173680931369E+000  9.173681731810E+000  9.556383863781E+000  9.556390997004E+000  9.556392328511E+000  9.794932967855E+000  1.028398282239E+001  4.850188005893E-007  1.999999992382E+000  1.999999999923E+000  1.999999671639E+000  2.787107197330E-005  1.999998125685E+000  1.999990226691E+000  1.999984917826E+000  1.999964729248E+000  1.999999642962E+000  1.999996916161E+000  3.526284965197E-005  2.158542675061E-006  0.000000000000E+000  4.663639134472E-012  1.701547344113E-014  2.942740370709E-011  4.189040569249E-001  3.081122344719E-007  1.913712080451E-006  3.152829820718E-006  1.522462524962E-007  5.605246452728E-008  6.426527210443E-007  3.758943016629E-003  7.998024565235E-003
   4.500000000000E+000  1.586280325683E+000  8.982194929843E+000  1.056847525553E+001  1.390021788832E+000  4.452211960619E+000  4.452211967575E+000  4.452212119000E+000  8.982194929843E+000  9.243136570605E+000  9.243137861920E+000  9.243138663706E+000  9.725380430139E+000  9.725386603604E+000  9.725387400894E+000  9.971932158812E+000  1.031809126522E+001  5.120763414384E-007  1.999999992461E+000  1.999999999921E+000  1.999999648002E+000  1.377718446469E-005  1.999999532699E+000  1.999998224350E+000  1.999986791334E+000  1.999967216690E+000  1.999999854773E+000  1.999999650594E+000  3.276640179362E-005  2.033512147933E-006  0.000000000000E+000  1.037011718382E-011  2.137650262898E-015  1.024818712660E-011  4.053378811959E-001  7.494473876250E-008  9.603631215209E-010  2.699881724470E-006  4.090263286353E-007  1.730773809273E-008  6.650867135449E-008  1.425669809461E-002  4.680535288643E-004
