#                    1                    2                    3                    4                    5                    6                    7                    8                    9                   10                   11                   12                   13                   14                   15                   16                   17                   18                   19                   20                   21                   22                   23                   24                   25                   26                   27                   28                   29                   30                   31                   32                   33                   34                   35                   36                   37                   38                   39                   40                   41                   42                   43
#               Time |               Ekin |               Epot |               Etot |  Energy          1 |  Energy          2 |  Energy          3 |  Energy          4 |  Energy          5 |  Energy          6 |  Energy          7 |  Energy          8 |  Energy          9 |  Energy         10 |  Energy         11 |  Energy         12 |  Energy         13 | Spin             1 | Spin             2 | Spin             3 | Spin             4 | Spin             5 | Spin             6 | Spin             7 | Spin             8 | Spin             9 | Spin            10 | Spin            11 | Spin            12 | Spin            13 | f_osc            1 | f_osc            2 | f_osc            3 | f_osc            4 | f_osc            5 | f_osc            6 | f_osc            7 | f_osc            8 | f_osc            9 | f_osc           10 | f_osc           11 | f_osc           12 | f_osc           13 |
#               [fs] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |               [eV] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |                 [] |
   0.000000000000E+000  7.129350323595E-001  1.090518838069E+001  1.161812341305E+001  5.276565446202E-001  5.732844992760E+000  5.732845025682E+000  5.732845080915E+000  8.828686495105E+000  8.828686900755E+000  8.828687207476E+000  9.455762962389E+000  1.090518838069E+001  1.097820332361E+001  1.097820365263E+001  1.097821304158E+001  1.189946065655E+001  4.084649285775E-007  1.999999780519E+000  1.999999997636E+000  1.999999938737E+000  1.999999920762E+000  1.999999603718E+000  1.999999721689E+000  1.708660544308E-006  2.516102599701E-004  1.999999949009E+000  1.999998282783E+000  1.999748458859E+000  6.189044967869E-007  0.000000000000E+000  7.466844848236E-010  8.972767035123E-012  2.236413558960E-010  1.386427000638E-008  8.328256321835E-010  8.444599285630E-009  1.581852473346E-002  4.718216742832E-001  6.958840295774E-009  5.434811704433E-009  6.008824981455E-005  9.836153358577E-003
   5.000000000000E-001  7.269466278599E-001  1.088975634622E+001  1.161670297408E+001  5.037759971397E-001  5.687285740740E+000  5.687285749805E+000  5.687285800696E+000  9.045096011924E+000  9.045096516988E+000  9.045096697092E+000  9.703098728549E+000  1.088975634622E+001  1.090108270362E+001  1.090108327961E+001  1.090114386665E+001  1.181379099245E+001  4.139968792636E-007  1.999999820812E+000  1.999999938509E+000  1.999999960158E+000  1.999999906201E+000  1.999999458675E+000  1.999999681598E+000  2.877507770687E-006  1.065582382659E-002  1.999999964152E+000  1.999997105451E+000  1.989344286340E+000  7.627711057656E-007  0.000000000000E+000  5.451598578135E-010  1.787274055327E-010  1.324978642913E-010  1.729207357191E-008  1.490840454443E-009  1.366491567248E-008  2.062232122485E-002  4.668190066126E-001  4.810854590159E-009  3.209281601888E-009  2.503720641957E-003  7.938160086436E-003
   1.000000000000E+000  7.852724794975E-001  1.083143049459E+001  1.161670297408E+001  5.184480293288E-001  5.618307026653E+000  5.618307045048E+000  5.618307078948E+000  9.297251551461E+000  9.297252187971E+000  9.297252297182E+000  9.983203801844E+000  1.077699908937E+001  1.077701164804E+001  1.077701288319E+001  1.083143049459E+001  1.167515908438E+001  4.215993807544E-007  1.999999988359E+000  1.999999744468E+000  1.999999983349E+000  1.999999857156E+000  1.999999544369E+000  1.999999264558E+000  6.772828099460E-006  1.999523295978E+000  1.999999970305E+000  1.999993595216E+000  4.765287898325E-004  1.033024570553E-006  0.000000000000E+000  3.365345047588E-011  6.636338563209E-010  4.753915445073E-011  2.724474212068E-008  2.363115435941E-008  4.144895830768E-009  3.203521818184E-002  1.095284141796E-004  4.008659032788E-009  3.562561355402E-008  4.578635018469E-001  5.833865473085E-003
   1.500000000000E+000  1.338998220174E+000  1.027770475391E+001  1.161670297408E+001  5.749587815191E-001  5.550067915571E+000  5.550067942166E+000  5.550067969065E+000  9.581644405100E+000  9.581645032860E+000  9.581645708875E+000  1.027770475391E+001  1.059473688769E+001  1.059474111846E+001  1.059474535582E+001  1.076525594636E+001  1.147861608259E+001  4.302875651970E-007  1.999999996410E+000  1.999999746093E+000  1.999999966196E+000  1.999999695418E+000  1.999999476088E+000  1.999998667482E+000  4.110582524433E-005  1.999942663813E+000  1.999999958252E+000  1.999961922350E+000  5.477749763036E-005  1.594286631408E-006  0.000000000000E+000  9.804101344061E-012  5.893174173758E-010  7.343924748907E-011  6.020028201919E-008  5.258643026535E-008  2.381519178124E-009  7.354233192443E-002  1.325282996645E-005  5.996721923013E-009  2.384074613530E-006  4.139328733058E-001  4.632869290109E-003
   2.000000000000E+000  1.101346539331E+000  1.051535643475E+001  1.161670297408E+001  7.108452253826E-001  5.507733464009E+000  5.507733494508E+000  5.507733521327E+000  9.902172764398E+000  9.902173482633E+000  9.902176187133E+000  1.041327986075E+001  1.041329495987E+001  1.041329708482E+001  1.051535643475E+001  1.079696137781E+001  1.127261184556E+001  4.408560337875E-007  1.999999998825E+000  1.999999787450E+000  1.999999913421E+000  1.999998588026E+000  1.999999258495E+000  1.999997408727E+000  1.999790513184E+000  1.999972410619E+000  1.999999839009E+000  2.174762294244E-004  2.143641178564E-005  2.928747228323E-006  0.000000000000E+000  3.151481899724E-012  4.706801142166E-010  1.594890906686E-010  2.874399702606E-007  1.066434383737E-007  5.344407623836E-009  2.123731616742E-005  6.248270336528E-006  2.642483366998E-008  3.306291929383E-001  1.490491244171E-001  6.585891349021E-003
   2.500000000000E+000  1.041713467518E+000  1.055247305625E+001  1.159418652377E+001  9.348057410535E-001  5.545577406153E+000  5.545577438601E+000  5.545577469444E+000  1.010710944039E+001  1.010711061203E+001  1.010711539842E+001  1.046043392328E+001  1.046044636824E+001  1.046044708991E+001  1.055247305625E+001  1.105577709942E+001  1.121664486375E+001  4.528491805810E-007  1.999999999353E+000  1.999999851355E+000  1.999999837080E+000  1.999993063289E+000  1.999999752124E+000  1.999996580025E+000  1.999920249995E+000  1.999977259906E+000  1.999999857077E+000  9.731534866797E-005  1.203476439333E-005  3.746832333383E-006  0.000000000000E+000  1.866226633987E-012  3.379503246267E-010  2.755782347035E-010  1.415858933310E-006  4.347659862364E-008  1.555656976624E-009  1.159396765345E-005  4.954894402529E-006  2.982134458189E-008  4.360364098828E-001  4.093589817822E-002  2.868377805373E-003
   3.000000000000E+000  1.093178441529E+000  1.050100808224E+001  1.159418652377E+001  1.187242135703E+000  5.579839052124E+000  5.579839080450E+000  5.579839124969E+000  1.004871425157E+001  1.004871519501E+001  1.004871721543E+001  1.050100808224E+001  1.071394941185E+001  1.071395776724E+001  1.071395893297E+001  1.101971392946E+001  1.145266121016E+001  4.677397013176E-007  1.999999999191E+000  1.999999925849E+000  1.999999745406E+000  1.999993316130E+000  1.999999992678E+000  1.999998091830E+000  2.531218946309E-005  1.999946299478E+000  1.999999782506E+000  1.999993029996E+000  4.209242037789E-005  1.944587105300E-006  0.000000000000E+000  2.788425553104E-012  1.894439748501E-010  4.012149881825E-010  1.276783637339E-006  2.660722346432E-009  4.587169323141E-010  4.099223848837E-001  7.030615271026E-006  4.479945531496E-008  1.688377121109E-006  6.168569251755E-002  4.459408178275E-004
   3.500000000000E+000  1.266520042561E+000  1.032788210079E+001  1.159440214336E+001  1.357882484857E+000  5.526883770440E+000  5.526883790306E+000  5.526883855209E+000  9.867855306329E+000  9.867856066512E+000  9.867857220400E+000  1.032788210079E+001  1.079671637508E+001  1.079673988628E+001  1.079674067599E+001  1.086714575293E+001  1.152452628959E+001  4.848477961486E-007  1.999999998328E+000  1.999999961740E+000  1.999999689069E+000  1.999994318137E+000  1.999999959918E+000  1.999998764512E+000  1.058961058721E-005  1.999362666471E+000  1.999999797605E+000  1.999998714377E+000  6.337577364812E-004  1.297648347817E-006  0.000000000000E+000  7.461262820322E-012  1.179714765248E-010  4.593118259158E-010  9.902895018535E-007  6.993711859561E-009  3.497927609040E-010  3.628383662570E-001  4.163784903131E-005  4.048049018753E-008  3.063786389176E-007  1.006564277213E-001  6.166055994766E-004
   4.000000000000E+000  1.534210034169E+000  1.005775348695E+001  1.159196352112E+001  1.474572122117E+000  5.395760218391E+000  5.395760234110E+000  5.395760320034E+000  9.627171773764E+000  9.627172528575E+000  9.627173312120E+000  1.005775348695E+001  1.066772075690E+001  1.074453681672E+001  1.074453751136E+001  1.074455232254E+001  1.145410242805E+001  5.084092940799E-007  1.999999997389E+000  1.999999980011E+000  1.999999644742E+000  1.999994332230E+000  1.999999859983E+000  1.999999080734E+000  8.326761645486E-006  4.242359771631E-004  1.999999827278E+000  1.999999414492E+000  1.999573803384E+000  9.886071610925E-007  0.000000000000E+000  1.516395150433E-011  7.415304663521E-011  4.653721676094E-010  8.954450450818E-007  2.037273736489E-008  6.560319528249E-010  3.164034470274E-001  1.375891834326E-001  3.427770111370E-008  1.210419606184E-007  2.327907388784E-005  1.209637253533E-003
   4.500000000000E+000  1.857967743987E+000  9.729568321727E+000  1.158753606571E+001  1.560871910421E+000  5.214239067238E+000  5.214239082413E+000  5.214239190554E+000  9.362034706021E+000  9.362035609796E+000  9.362036215168E+000  9.729568321727E+000  1.044798397924E+001  1.059674141774E+001  1.059674206974E+001  1.059674773358E+001  1.128638255497E+001  5.396622306688E-007  1.999999997294E+000  1.999999989599E+000  1.999999602812E+000  1.999992980169E+000  1.999999790192E+000  1.999999237338E+000  8.831230634570E-006  9.292162387488E-005  1.999999850214E+000  1.999999618427E+000  1.999905813306E+000  8.281310446121E-007  0.000000000000E+000  2.161596069936E-011  4.978964490846E-011  4.309221512320E-010  1.003546836203E-006  2.739603380325E-008  1.941793675226E-009  2.799547637212E-001  1.631523756361E-001  2.956489979952E-008  5.997489568026E-008  5.270463568276E-006  2.224632405626E-003
   5.000000000000E+000  2.169691477503E+000  9.414143990706E+000  1.158383546821E+001  1.678872390664E+000  5.047672554384E+000  5.047672570784E+000  5.047672705028E+000  9.135227908163E+000  9.135229183313E+000  9.135229704761E+000  9.414143990706E+000  1.026607347809E+001  1.044240304083E+001  1.044240366934E+001  1.044240750877E+001  1.111315367899E+001  5.801915179760E-007  1.999999997332E+000  1.999999993907E+000  1.999999559060E+000  1.999988491482E+000  1.999999781520E+000  1.999999313445E+000  1.284378588584E-005  5.628591446811E-005  1.999999872701E+000  1.999999698241E+000  1.999942853023E+000  7.293972023100E-007  0.000000000000E+000  2.746381161247E-011  4.194408339320E-011  3.614387306361E-010  1.489096195510E-006  2.577000515461E-008  4.238576659257E-009  2.524483696064E-001  1.781920607110E-001  2.495602339484E-008  3.181805203403E-008  3.462131475527E-006  3.820384730169E-003
   5.500000000000E+000  2.409428230364E+000  9.173577852199E+000  1.158300608256E+001  1.887339593394E+000  4.957798917332E+000  4.957798935991E+000  4.957799102826E+000  9.001898223407E+000  9.001900495186E+000  9.001900980541E+000  9.173577852199E+000  1.017572464405E+001  1.036677902115E+001  1.036677963555E+001  1.036678260533E+001  1.102095154488E+001  6.327042409642E-007  1.999999996847E+000  1.999999994567E+000  1.999999508989E+000  1.999970187906E+000  1.999999814407E+000  1.999999346705E+000  3.081297269935E-005  4.209517840548E-005  1.999999897506E+000  1.999999728952E+000  1.999957333123E+000  6.501433283014E-007  0.000000000000E+000  3.471553645553E-011  4.549013975584E-011  2.679294724910E-010  3.493208455917E-006  2.000261251193E-008  6.640314746889E-009  2.303637745181E-001  1.859904127762E-001  1.997243603728E-008  1.711471638491E-008  2.751423731019E-006  6.195662641644E-003
